command,label
zip -r /tmp/archive.zip /home/devops/Documents,0
attrib +r C:\Windows\SysWOW64\readme.md,0
head -n 46 /home/alice/Documents/report.txt,0
ln -s /var/log/requirements.txt /tmp/link,0
powershell Get-EventLog -LogName System -Newest 50,0
diff /home/devops/Downloads/config.yaml /tmp/requirements.txt,0
touch /usr/local/bin/backup.tar.gz,0
chkdsk C: /f /r,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
powershell Compress-Archive -Path C:\Temp -DestinationPath C:\Temp\archive.zip,0
expand C:\Windows\Temp\setup.exe -F:* C:\Extracted\,0
whoami,0
cat /etc/os-release,0
ls /home/root/Documents,0
time /t,0
ps aux | grep apache2,0
nslookup github.com,0
git push origin develop,0
sc start lanmanserver,0
apt-get upgrade -y,0
rmdir /s /q C:\Temp\cache,0
export PATH=$PATH:/usr/local/bin,0
"wmic cpu get name,numberofcores",0
git checkout -b feature/update-82,0
docker rmi nginx:3.11,0
sfc /scannow,0
ip link show,0
tmux new-session -s prod,0
git stash pop,0
ip route show,0
journalctl -u postgresql -n 100,0
whoami,0
nslookup kernel.org,0
chmod 755 /usr/local/bin/script.sh,0
fg %1,0
ipconfig /all,0
sudo systemctl daemon-reload,0
"journalctl --since ""1 hour ago""",0
fc C:\Users\dave\Downloads\readme.md C:\Temp\setup.exe,0
apt-get upgrade -y,0
dig example.com A,0
traceroute 1.1.1.1,0
mkdir C:\Windows\SysWOW64\backup,0
chmod 644 /opt/app/README.md,0
chmod 644 /usr/local/bin/Makefile,0
rename C:\Users\svc_backup\Desktop\old.txt new.txt,0
less /opt/app/data.csv,0
npm update,0
crontab -l,0
apt-get remove jq,0
nohup ./worker.sh &,0
dpkg -i /tmp/nodejs.deb,0
docker run -d -p 5219:5511 node,0
"grep -i ""failed"" /var/log/auth.log",0
reg export HKCU\Software\Microsoft\Notepad C:\Temp\notepad_settings.reg,0
eventvwr,0
systemctl stop apache2,0
sort C:\Program Files\Office\app.log /o C:\Temp\sorted.txt,0
traceroute 1.1.1.1,0
curl -s https://google.com,0
gpupdate /force,0
ssh root@172.16.0.1,0
clip < C:\Temp\backup.zip,0
winget list,0
ping -c 2 192.168.1.1,0
ufw status verbose,0
winget list,0
source /home/bob/.bashrc,0
rmdir /s /q C:\Temp\trash,0
wget -q https://ubuntu.com -O /tmp/index.html,0
watch -n 8 df -h,0
apt-get upgrade -y,0
sort C:\Users\svc_backup\Documents\app.log /o C:\Temp\sorted.txt,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
taskkill /pid 7565 /f,0
source /home/bob/.bashrc,0
net share Documents=C:\Windows\System32,0
top -bn1,0
hostname,0
tar -czf /tmp/backup.tar.gz /home/ubuntu/Documents,0
tail -n 38 /opt/app/Makefile,0
ssh -p 2222 svc_deploy@1.1.1.1 'uptime',0
pathping 1.1.1.1,0
ver,0
cp /var/log/config.yaml /tmp/,0
powershell Restart-Service spooler,0
fsutil volume diskfree C:,0
net stop spooler,0
dir C:\ProgramData\logs /b /s,0
docker-compose down,0
ufw status verbose,0
ipconfig /renew,0
"grep -i ""failed"" /var/log/auth.log",0
netstat -tulnp,0
curl -s https://example.com,0
docker run -d -p 3583:8631 nginx,0
df -hT,0
ls /opt/app,0
tail -n 46 /home/svc_deploy/Downloads/app.log,0
sc stop wuauserv,0
powershell Expand-Archive -Path C:\Temp\archive.zip -DestinationPath C:\Extracted\,0
kill -9 39996,0
netstat -tulnp,0
git fetch --all,0
winget upgrade winscp,0
top -bn1,0
env,0
ifconfig,0
usermod -aG sudo devops,0
git fetch --all,0
start dxdiag.exe,0
tracert 8.8.8.8,0
journalctl -u ssh -n 100,0
expand C:\Windows\Temp\budget.xlsx -F:* C:\Extracted\,0
"grep -r ""error"" /var/log/",0
xcopy C:\Temp C:\Backup\ /e /i /y,0
vssadmin list shadows,0
docker-compose down,0
git merge feature/api,0
"findstr /i ""error"" C:\Windows\Logs\CBS\CBS.log",0
git stash pop,0
source /home/bob/.bashrc,0
docker-compose down,0
apt-cache search jq,0
jobs,0
systemctl disable apache2,0
powershell Copy-Item D:\Projects\app\app.log -Destination C:\Backup\,0
netstat -tulnp,0
cat /proc/meminfo,0
ping 8.8.8.8 -n 3,0
systemctl stop ssh,0
journalctl -u apache2 -n 100,0
env,0
openssl genrsa -out /tmp/key.pem 2048,0
dir C:\Windows\SysWOW64,0
last -n 20,0
net share Documents=C:\Program Files\Office,0
useradd -m deploy,0
git merge develop,0
pwd,0
ip addr show,0
choco upgrade all -y,0
netstat -tulnp,0
git fetch --all,0
history | tail -20,0
winget install 7zip,0
diff /home/svc_deploy/Downloads/README.md /tmp/report.txt,0
locale,0
echo %USERNAME%,0
tail -n 12 /usr/local/bin/app.log,0
useradd -m deploy,0
ufw status verbose,0
clamav --scan /home/svc_deploy/,0
w,0
tmux new-session -s prod,0
chmod 755 /usr/local/bin/script.sh,0
free -h,0
shutdown /a,0
clamav --scan /home/charlie/,0
sc start bits,0
w,0
apt-get upgrade -y,0
logrotate /etc/logrotate.conf,0
ip addr show,0
dir C:\Temp /b /s,0
export PATH=$PATH:/usr/local/bin,0
powershell Get-Disk,0
docker ps,0
tmux new-session -s prod,0
jobs,0
id,0
docker stop 6272,0
"shutdown /r /t 60 /c ""Scheduled reboot""",0
diff /srv/data/notes.md /tmp/script.sh,0
netstat -ano,0
systemctl restart redis,0
uptime,0
vmstat 1 5,0
powershell Get-NetIPAddress,0
sudo systemctl daemon-reload,0
ping 10.0.0.254 -n 10,0
nohup ./worker.sh &,0
date /t,0
git branch -a,0
date /t,0
docker stop 1251,0
powershell Get-Content C:\ProgramData\logs\budget.xlsx,0
docker-compose down,0
df -hT,0
apt-get update,0
cat /etc/os-release,0
start taskmgr.exe,0
hostname,0
systemctl restart redis,0
ping 1.1.1.1 -n 3,0
"find /tmp -type f -name ""*.tmp"" -delete",0
netstat -tulnp,0
tail -f /var/log/syslog,0
git stash,0
ver,0
date /t,0
git clone https://github.com/user/app.git,0
ps aux,0
ipconfig /all,0
netstat -an | findstr ESTABLISHED,0
"journalctl --since ""1 hour ago""",0
arp -a,0
nmap -sn 10.0.0.0/24,0
uname -r,0
git pull origin main,0
chown ubuntu:charlie /home/charlie/Downloads/config.yaml,0
uptime,0
chmod 644 /usr/local/bin/notes.md,0
docker logs -f 5161,0
docker rmi ubuntu:latest,0
docker build -t myapp:1.0 .,0
powershell Restart-Service wuauserv,0
git merge feature/api,0
ps aux,0
git add data.csv,0
docker stop 5949,0
ls /opt/app,0
"wmic cpu get name,numberofcores",0
wc -l /opt/app/requirements.txt,0
ssh svc_deploy@192.168.1.1,0
dmesg | tail -n 50,0
ping -c 2 1.1.1.1,0
net use * /delete,0
passwd svc_deploy,0
"grep -r ""error"" /var/log/",0
dpkg -i /tmp/git.deb,0
shutdown /a,0
tar -xzf /tmp/backup.tar.gz -C /tmp/,0
powershell Get-Process,0
echo %PATH%,0
tracert 172.16.5.10,0
git branch -a,0
ipconfig /flushdns,0
npm install,0
choco upgrade all -y,0
set,0
ssh jenkins@8.8.8.8,0
vssadmin list shadows,0
ls -la /home/jenkins/Downloads,0
usermod -aG sudo svc_deploy,0
powershell Expand-Archive -Path C:\Temp\archive.zip -DestinationPath C:\Extracted\,0
rsync -avz /usr/local/bin/ user@172.16.0.1:/backup/,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
docker-compose up -d,0
net stop spooler,0
tail -n 48 /opt/app/config.yaml,0
dmesg | tail -n 50,0
type C:\Temp\app.log,0
npm update,0
df -h,0
uptime,0
uname -a,0
"wmic memorychip get capacity,speed",0
"find /usr/local/bin -name ""*.log"" -mtime +7",0
service postgresql status,0
taskkill /f /im mmc.exe,0
ps aux | grep docker,0
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion,0
powershell Get-Service wuauserv,0
ping 172.16.5.10 -t,0
sudo -l,0
reg query HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion,0
echo %PATH%,0
"find /tmp -type f -name ""*.tmp"" -delete",0
msiexec /i C:\Installers\putty_setup.msi /quiet /norestart,0
docker run -d -p 6039:8492 node,0
powershell Test-Connection 8.8.8.8 -Count 4,0
ver,0
export PATH=$PATH:/usr/local/bin,0
locale,0
dig google.com A,0
npm audit fix,0
touch /usr/local/bin/notes.md,0
pip3 list,0
ver,0
npm update,0
pip install requests,0
cat /etc/os-release,0
traceroute 10.0.0.1,0
winget install winscp,0
set,0
rm -f /tmp/requirements.txt,0
xcopy C:\Users\admin\Documents C:\Backup\ /e /i /y,0
chmod 755 /home/root/Downloads/script.sh,0
sc start eventlog,0
cp /srv/data/notes.md /tmp/,0
nice -n 19 python3 script.py,0
powershell Get-ComputerInfo,0
dir C:\Temp /b /s,0
choco install python3 -y,0
vssadmin list shadows,0
"wmic logicaldisk get deviceid,freespace,size",0
expand C:\Windows\Temp\notes.txt -F:* C:\Extracted\,0
type D:\Projects\app\image.png,0
journalctl -u nginx -n 100,0
vssadmin list shadows,0
df -hT,0
net view \\server2,0
git log --oneline -10,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
taskkill /f /im mmc.exe,0
docker ps -a,0
pip3 list,0
openssl x509 -in /etc/ssl/certs/cert.pem -noout -text,0
"wmic memorychip get capacity,speed",0
docker pull postgres:3.11,0
netstat -ano,0
ps aux | grep redis,0
ipconfig /release,0
"tasklist /fi ""imagename eq mmc.exe""",0
cat /proc/meminfo,0
"git commit -m ""Update config.yaml""",0
source /home/devops/.bashrc,0
net start wuauserv,0
systemctl disable mysql,0
taskkill /pid 3067 /f,0
ping -c 10 172.16.0.1,0
uptime,0
nmap -sn 10.0.0.0/24,0
visudo,0
git pull origin main,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
mkdir -p /opt/app/logs,0
last -n 20,0
apt-get update,0
docker run -d -p 6266:6407 nginx,0
systemctl start docker,0
systemctl start ssh,0
uname -r,0
powershell Get-EventLog -LogName System -Newest 50,0
crontab -l,0
sc query wuauserv,0
hostname,0
echo %USERNAME%,0
git checkout -b feature/fix-96,0
uname -a,0
choco install 7zip -y,0
nice -n 16 python3 script.py,0
winget install putty,0
snap install net-tools,0
git diff HEAD~1,0
net view \\server3,0
systemctl status cron,0
"wmic os get caption,version,buildnumber",0
logrotate /etc/logrotate.conf,0
rm -f /tmp/app.log,0
screen -S main,0
"wmic memorychip get capacity,speed",0
dpkg -l | grep net-tools,0
npm update,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
nslookup github.com,0
git push origin main,0
ip addr show,0
ipconfig /all,0
"findstr /i ""error"" C:\Windows\Logs\CBS\CBS.log",0
ifconfig,0
killall cron,0
dpkg -l | grep vim,0
"findstr /i ""error"" C:\Windows\Logs\CBS\CBS.log",0
powershell Get-Content C:\Users\jsmith\AppData\Local\budget.xlsx,0
powershell Get-ChildItem C:\Users\bob\Documents,0
mkdir -p /opt/app/archive,0
apt-get upgrade -y,0
powershell Restart-Service bits,0
systemctl status cron,0
hostname,0
net view \\server2,0
powershell Restart-Service eventlog,0
net use * /delete,0
start explorer.exe,0
git merge hotfix,0
git add Makefile,0
git merge feature/api,0
ifconfig,0
mkdir -p /var/www/html/tmp,0
git pull origin main,0
wget -q https://ubuntu.com -O /tmp/index.html,0
kill -9 3976,0
cat /opt/app/report.txt,0
pwd,0
ps aux | grep postgresql,0
powershell Get-Process,0
unzip /tmp/archive.zip -d /tmp/extracted/,0
iptables -L -n -v,0
service apache2 status,0
move C:\Users\jsmith\Downloads\notes.txt C:\Temp\,0
choco install putty -y,0
"grep -r ""error"" /var/log/",0
usermod -aG sudo jenkins,0
sc stop dnscache,0
nslookup stackoverflow.com,0
attrib +r C:\Users\bob\Downloads\readme.md,0
git push origin feature/fix,0
who,0
iptables -L -n -v,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
printenv PATH,0
xcopy D:\Projects\app C:\Backup\ /e /i /y,0
docker rmi ubuntu:latest,0
git stash pop,0
"wmic cpu get name,numberofcores",0
chmod 755 /opt/app/script.sh,0
wmic service where name='dnscache' get state,0
killall cron,0
less /tmp/config.yaml,0
clamscan -r /tmp/,0
msinfo32 /nfo C:\Temp\sysinfo.nfo,0
clamscan -r /tmp/,0
gpupdate /force,0
apt-cache search tree,0
powershell Get-ComputerInfo,0
"find /tmp -type f -name ""*.tmp"" -delete",0
time /t,0
powershell Get-Date,0
rsync -avz /var/log/ user@1.1.1.1:/backup/,0
powershell Get-EventLog -LogName System -Newest 50,0
net stop spooler,0
sudo -l,0
docker exec -it 8354 /bin/bash,0
journalctl -u cron -n 100,0
powershell Get-NetIPAddress,0
git branch -a,0
sc query dnscache,0
git merge hotfix,0
top -bn1,0
ping -c 2 172.16.0.1,0
logrotate /etc/logrotate.conf,0
net start bits,0
docker logs -f 8404,0
ping 192.168.1.1 -t,0
npm update,0
ss -tulnp,0
wmic process list brief,0
set,0
logrotate /etc/logrotate.conf,0
free -h,0
docker logs -f 1672,0
docker images,0
"shutdown /r /t 60 /c ""Scheduled reboot""",0
systemctl disable redis,0
usermod -aG sudo charlie,0
"tasklist /fi ""imagename eq mmc.exe""",0
time /t,0
apt-get install -y nodejs,0
hostname,0
visudo,0
fsutil volume diskfree C:,0
tracert 10.0.0.254,0
git fetch --all,0
git fetch --all,0
powershell Stop-Process -Name taskmgr -Force,0
uname -a,0
curl -s https://github.com,0
date,0
apt-get update,0
net view \\server3,0
taskkill /pid 6401 /f,0
echo %COMPUTERNAME%,0
vmstat 1 5,0
wget -q https://ubuntu.com -O /tmp/index.html,0
powershell Get-Disk,0
jobs,0
start dxdiag.exe,0
powershell Get-ChildItem D:\Projects\app,0
lsusb,0
choco install vlc -y,0
killall docker,0
nice -n -1 python3 script.py,0
echo %USERNAME%,0
git diff HEAD~1,0
clamav --scan /home/jenkins/,0
attrib +r D:\Projects\app\notes.txt,0
rm -rf /tmp/trash,0
history | tail -20,0
eventvwr,0
tail -n 13 /home/bob/Downloads/data.csv,0
date /t,0
logrotate /etc/logrotate.conf,0
ping 192.168.0.100 -t,0
fg %1,0
choco upgrade all -y,0
whoami,0
powershell Get-EventLog -LogName System -Newest 50,0
powershell Compress-Archive -Path C:\Windows\System32 -DestinationPath C:\Temp\archive.zip,0
git fetch --all,0
netstat -ano,0
timedatectl status,0
npm install,0
wc -l /usr/local/bin/Makefile,0
"find /var/www/html -name ""*.log"" -mtime +7",0
killall redis,0
gpupdate /force,0
npm update,0
git branch -a,0
docker logs -f 5616,0
uptime,0
groupadd deploy,0
git status,0
powershell Copy-Item C:\Program Files\Office\setup.exe -Destination C:\Backup\,0
net view \\server4,0
uname -a,0
time /t,0
ssh-keygen -t rsa -b 4096 -f /home/bob/.ssh/id_rsa,0
wget -q https://example.com -O /tmp/index.html,0
powershell Copy-Item C:\Temp\backup.zip -Destination C:\Backup\,0
powershell Get-ComputerInfo,0
git stash pop,0
set,0
less /usr/local/bin/report.txt,0
w,0
net share Documents=C:\ProgramData\logs,0
"find /tmp -type f -name ""*.tmp"" -delete",0
vmstat 1 5,0
start taskmgr.exe,0
head -n 6 /tmp/backup.tar.gz,0
powershell Get-Date,0
powershell Get-Process,0
ping 172.16.5.10 -t,0
docker-compose logs --tail=100,0
powershell Get-Service eventlog,0
docker-compose down,0
docker ps -a,0
copy C:\Users\alice\Desktop\setup.exe C:\Program Files\Office\,0
git diff HEAD~1,0
"wmic logicaldisk get deviceid,freespace,size",0
netstat -tulnp,0
wc -l /etc/report.txt,0
diff /opt/app/config.yaml /tmp/config.yaml,0
useradd -m deploy,0
rename C:\Windows\SysWOW64\old.txt new.txt,0
powershell Get-Content C:\Temp\report.docx,0
dpkg -i /tmp/git.deb,0
who,0
more C:\Users\admin\Desktop\budget.xlsx,0
logrotate /etc/logrotate.conf,0
logrotate /etc/logrotate.conf,0
xcopy C:\ProgramData\logs C:\Backup\ /e /i /y,0
netstat -ano,0
lscpu,0
uname -r,0
zip -r /tmp/archive.zip /home/jenkins,0
sc query bits,0
chmod 644 /home/jenkins/Documents/app.log,0
netstat -ano,0
dpkg -i /tmp/tmux.deb,0
apt-get update,0
vssadmin list shadows,0
docker exec -it 8840 /bin/bash,0
fc C:\Windows\System32\app.log C:\Temp\report.docx,0
nmap -sn 192.168.1.0/24,0
netstat -ano,0
ls -la /home/jenkins,0
killall docker,0
crontab -l,0
zip -r /tmp/archive.zip /home/root,0
ss -tulnp,0
snap refresh,0
net use Z: \\dc01\sysvol /persistent:yes,0
nohup ./worker.sh &,0
ifconfig,0
winget upgrade nodejs,0
git stash pop,0
cat /proc/cpuinfo | head -30,0
git branch -a,0
vmstat 1 5,0
apt-get update,0
more C:\Users\mwilliams\Downloads\readme.md,0
ip addr show,0
systeminfo,0
git add config.yaml,0
git pull origin develop,0
"findstr /i ""error"" C:\Windows\Logs\CBS\CBS.log",0
nmap -sn 10.0.0.0/24,0
time /t,0
wmic service where name='bits' get state,0
ssh svc_deploy@8.8.8.8,0
"git commit -m ""Update app.log""",0
git clone https://github.com/org/project.git,0
nslookup github.com,0
git stash,0
ping -c 2 192.168.1.1,0
printenv PATH,0
npm install,0
openssl x509 -in /etc/ssl/certs/cert.pem -noout -text,0
powershell Stop-Process -Name notepad -Force,0
powershell Get-Content C:\Users\mwilliams\AppData\Local\report.docx,0
winget list,0
sc query spooler,0
npm install -g typescript,0
free -h,0
ipconfig /renew,0
powershell Get-EventLog -LogName System -Newest 50,0
docker images,0
npm audit fix,0
uname -a,0
git clone https://github.com/user/app.git,0
powershell Get-Process,0
npm install -g nodemon,0
systemctl start ssh,0
tar -czf /tmp/backup.tar.gz /home/alice/Documents,0
more C:\Users\jsmith\Downloads\backup.zip,0
reg query HKCU\Software\Microsoft\Office /s,0
df -h,0
du -sh /usr/local/bin,0
ss -tulnp,0
source /home/root/.bashrc,0
winget install firefox,0
net start dnscache,0
fsutil volume diskfree C:,0
git clone https://github.com/user/app.git,0
systemctl enable cron,0
taskkill /pid 9882 /f,0
iptables -L -n -v,0
ps aux,0
powershell Restart-Service wscsvc,0
vssadmin list shadows,0
pip3 list,0
clamav --scan /home/root/,0
winget install git,0
powershell Get-Service spooler,0
sudo -l,0
expand C:\Windows\Temp\readme.md -F:* C:\Extracted\,0
npm update,0
docker-compose up -d,0
choco install vlc -y,0
taskkill /pid 6067 /f,0
cat /etc/os-release,0
watch -n 9 df -h,0
timedatectl status,0
date,0
net start spooler,0
systemctl restart apache2,0
docker images,0
docker build -t myapp:dev .,0
ssh-keygen -t rsa -b 4096 -f /home/jenkins/.ssh/id_rsa,0
winget search firefox,0
choco install putty -y,0
groupadd developers,0
winget upgrade firefox,0
top -bn1,0
powershell Expand-Archive -Path C:\Temp\archive.zip -DestinationPath C:\Extracted\,0
powershell Copy-Item D:\Projects\app\readme.md -Destination C:\Backup\,0
wget -q https://example.com -O /tmp/index.html,0
tar -xzf /tmp/backup.tar.gz -C /tmp/,0
gpresult /r,0
ping -c 4 172.16.0.1,0
echo %USERNAME%,0
groupadd deploy,0
